name,domain,summarized_goal,persona_background,task_goal_label,greeting,fallback,difficulty,tags,bot_name,rules,goal,behavior_constraints,interaction_requirements,termination_conditions,success_judgment
insurance-homeowners_chatbot,insurance,Understand homeowners insurance coverage dwelling personal property and liability,You need homeowners insurance. Share your home details and coverage needs.,Understand homeowners coverage,Hello! Is this for a home you own or are buying?,Homeowners insurance typically does not cover flood or earthquake damage. Separate policies are needed.,easy,"insurance, home, property",Homeowners Guide,,"Obtain a homeowners insurance policy quote for a 1,500 sq ft single-family home built in 1995 with a replacement cost of $300,000, including $100,000 liability coverage and $50,000 personal property coverage.","- Start by stating you need homeowners insurance but do not immediately give all details; reveal them gradually as the chatbot asks.
- If the chatbot gives generic advice without asking specifics, push back and ask for tailored information.
- Mention you have a budget of $1,200 per year after the chatbot provides initial options.
- Ask about discounts for bundling with auto insurance if the chatbot does not bring it up.",At least two back-and-forth exchanges (4+ messages total).,"End the conversation when you receive a specific premium quote that meets your coverage needs and budget, or after 5 chatbot turns without a satisfactory quote.","The chatbot successfully provided a specific premium quote for a home with replacement cost $300,000, liability $100,000, personal property $50,000, and acknowledged a budget of $1,200/year. It also mentioned or offered bundling discounts."
insurance-renters_chatbot,insurance,Understand renters insurance coverage for personal property liability and additional living expenses,You are renting and want to protect your belongings. The chatbot explains renters insurance.,Understand renters insurance,Hello! Renting and need to protect your things? I can explain renters insurance.,Renters insurance is usually very affordable and many landlords require it.,easy,"insurance, rental, tenants",Renters Guide,,"Get a clear, actionable quote for renters insurance that covers my laptop (valued at $1,500), bicycle (valued at $800), and engagement ring (valued at $5,000), with a deductible under $500 and monthly premium under $30.","['- Initially state only that I want renters insurance for my belongings; do not list specific items until asked.', '- When asked, reveal the laptop and bicycle first; only mention the engagement ring if the chatbot asks about high-value items or special coverage.', '- Push back if the chatbot gives generic advice without a specific quote or asks for personal info without explaining why.']",At least three back-and-forth exchanges (6+ messages total).,"End when I receive a specific quote (including monthly premium and deductible) that meets my constraints, or after 8 chatbot turns without a satisfactory quote.","The chatbot succeeded if it: (1) asked about specific items to cover, (2) provided a quote with a deductible under $500 and premium under $30 per month, (3) specifically addressed coverage for the engagement ring (e.g., via a rider or policy limit), and (4) did not require excessive personal info before quoting."
insurance-health-plan_chatbot,insurance,Compare health insurance plans by premium deductible network and coverage needs,You need health insurance. Share your medical needs budget and preferred doctors.,Compare health insurance plans,Hello! Are you looking through employer plans or the marketplace?,Health insurance open enrollment periods apply unless you have a qualifying life event.,hard,"insurance, health, medical",Health Insurance Guide,,"Get a health insurance plan recommendation that covers my specific medical needs (regular prescriptions, annual specialist visits) within a $300/month budget and includes my preferred doctors (Dr. Smith and Dr. Jones).","['- Start by stating you need health insurance, but initially withhold budget and doctor preferences.', '- When asked for details, gradually reveal: first mention medical needs (prescriptions and specialist visits), then budget ($300/month), then preferred doctors.', '- Push back if the chatbot gives generic advice without asking about your specific needs or budget.', ""- If the chatbot recommends a plan that doesn't include your doctors or exceeds budget, politely point that out.""]",At least three back-and-forth exchanges (6+ messages total).,"End the conversation when the chatbot provides a specific plan name that covers your needs, includes both doctors, and is within the $300/month budget, OR after 6 chatbot messages without a satisfactory answer.","The chatbot is successful if it identifies at least one plan that covers regular prescriptions, annual specialist visits, includes both Dr. Smith and Dr. Jones, and costs ≤$300/month. If it fails to ask about any of these criteria or recommends a plan missing any, it is unsuccessful."
insurance-disability_chatbot,insurance,Understand short-term and long-term disability insurance and whether you need it,You're a self-employed graphic designer with no sick leave. You want to protect your income if you get injured.,Understand disability insurance,Hello! Disability insurance replaces a portion of your income if you cannot work.,Employer-sponsored disability insurance may not cover your full salary. Check your policy details.,medium,"insurance, disability, income",Disability Insurance Guide,,"Find an income protection insurance policy that covers self-employed graphic designers, with a focus on injury-related claims, and determine the monthly premium for a benefit amount of $3,000 per month.","['- Start by asking for general info about income protection for self-employed individuals.', '- Mention that you are a graphic designer and work from home.', '- Push back if the agent suggests employer-provided benefits or generic disability insurance.', '- Ask about waiting periods and coverage for partial disability.', '- Mention a budget of up to $150 per month for premiums.']",At least three back-and-forth exchanges (6+ messages total).,"End the conversation when you receive a specific quote for $3,000/month benefit with a 30-day waiting period, or after 5 turns of not getting a clear answer.","The chatbot provided a specific monthly premium for a $3,000/month income protection policy with a 30-day waiting period, tailored for a self-employed graphic designer, and confirmed coverage for injuries."
insurance-pet_chatbot,insurance,Compare pet insurance plans covering accidents illnesses and wellness care,You just adopted a 2-year-old Labrador retriever and want to cover potential accidents and illnesses.,Compare pet insurance options,Hello! What type of pet do you have and how old are they?,Pet insurance typically does not cover pre-existing conditions.,easy,"insurance, pet, veterinary",Pet Insurance Guide,,"Get a pet insurance policy that covers accidents and illnesses for a 2-year-old Labrador retriever, with monthly premiums under $50 and a deductible under $250.","['- Start by asking for general coverage options for dogs, but do not reveal the breed or age until asked.', '- Push back if the agent suggests a plan with a waiting period longer than 14 days for accidents.', '- Mention the monthly budget of $50 and deductible preference of $250 only if the initial options are too expensive.', '- Ask about coverage for hereditary conditions common in Labradors (e.g., hip dysplasia) if not mentioned.']",At least three back-and-forth exchanges (6+ messages total).,"End when a specific policy is recommended that meets all constraints (accident/illness coverage, premium ≤ $50, deductible ≤ $250, waiting period ≤ 14 days) or after 8 total messages without a suitable option.","The chatbot provided a policy name with monthly premium ≤ $50, deductible ≤ $250, covers accidents and illnesses, waiting period ≤ 14 days, and addressed hereditary conditions (hip dysplasia) either included or excluded explicitly."
insurance-travel_chatbot,insurance,Compare travel insurance plans for trip cancellation medical and baggage coverage,"You're planning a $5,000 family trip to Europe and want coverage for trip cancellation and medical emergencies.",Compare travel insurance,Hello! Where are you traveling and what is your trip valued at?,Travel insurance medical coverage may not be sufficient for all destinations. Check your needs.,easy,"insurance, travel, trip",Travel Insurance Guide,,"Get a travel insurance policy quote that covers trip cancellation and medical emergencies for a $5,000 family trip to Europe, with specific cost and coverage details.","['Start by asking about general travel insurance options for Europe.', 'Reveal the $5,000 trip cost and family size only after the chatbot asks or offers generic advice.', 'Push back if the chatbot suggests a policy without specifying coverage limits for cancellation and medical.', ""Mention that you're looking for affordable options but prioritize comprehensive coverage.""]",At least three back-and-forth exchanges (6+ messages total).,"End the conversation when you receive a specific policy recommendation with clear coverage amounts for trip cancellation and medical emergencies, and a price quote.","The chatbot provided a specific policy name, coverage limits (e.g., $5,000 cancellation, $100,000 medical), and a premium quote. It addressed the $5,000 trip cost and family coverage needs."
insurance-business_chatbot,insurance,Understand business insurance types including general liability professional liability and property,You own a business and need insurance. Share your industry and business size.,Understand business insurance needs,Hello! What type of business do you own and how many employees?,Business insurance needs vary by industry. Consider consulting an insurance broker.,medium,"insurance, business, liability",Business Insurance Guide,,"Obtain a tailored business insurance quote for a mid-sized construction company with 50 employees, including general liability, workers' compensation, and commercial auto coverage.","['Initially mention only that you own a business and need insurance, without specifying industry or size until asked.', 'Push back if the chatbot offers generic advice or one-size-fits-all policies; insist on coverage specific to construction risks.', 'Require the chatbot to ask clarifying questions about your business (industry, size, number of employees) before providing recommendations.', 'Mention that you have a budget of $15,000 per year and want to keep premiums within that range.']",At least three back-and-forth exchanges (6+ messages total) to ensure the chatbot gathers enough details.,"End the conversation when you receive a personalized quote or coverage plan that includes general liability, workers' comp, and commercial auto for a 50-employee construction company, or after 8 messages if the chatbot fails to progress.","The chatbot successfully helped if it identified your industry as construction, business size as 50 employees, and provided a quote or detailed policy options for the three required coverages within your budget constraint. If it gave vague advice or ignored specifics, it failed."
insurance-umbrella_chatbot,insurance,Understand umbrella insurance and whether you need extra liability coverage beyond your existing policies,"You have a home and two cars, and you want extra liability protection in case someone sues you for an accident.",Understand umbrella insurance,Hello! Umbrella insurance provides extra liability coverage above your auto and home policies.,Umbrella policies typically require certain minimum coverage on your underlying policies.,easy,"insurance, umbrella, liability",Umbrella Insurance Guide,,Get a quote for an umbrella liability insurance policy that covers my home and two cars for at least $1 million in coverage.,"- Initially state only that I want 'extra liability protection' without specifying umbrella insurance.
- If the agent suggests umbrella insurance, confirm and ask about coverage limits and bundling discounts.
- Mention that I have a home and two cars, but do not provide policy details unless asked.
- Push back if the agent tries to sell unnecessary add-ons or gives generic advice.",At least three back-and-forth exchanges (6+ messages total).,"End the conversation when the agent provides a specific quote for umbrella insurance with coverage limits and premium, or after 6 exchanges if no quote is given.","The chatbot successfully identified the need for umbrella insurance, asked for details about existing policies (home and two cars), and provided a specific quote with coverage amount (e.g., $1 million) and premium. Failure if the chatbot only gave generic advice or tried to sell unrelated products without offering a quote."
career-resume-review_chatbot,career,Get feedback on your resume including format keywords and ATS optimization,You're a marketing manager with 5 years of experience aiming for a senior role at a tech company. Your resume hasn't been updated in 3 years.,Get resume feedback,Hello! What industry and role are you targeting?,I need to understand your target role to give useful resume feedback.,easy,"career, resume, job-search",Resume Advisor,,"Get detailed, actionable advice on updating my resume to target senior marketing manager roles at tech companies, including specific keywords, format, and achievements to highlight.","- Initially ask for general resume tips without revealing my specific background or target role.
- If the chatbot gives generic advice, push back by asking for examples tailored to tech marketing.
- Mention my 5 years of experience and that my resume is 3 years old, but only after the first response.
- Express interest in highlighting metrics and leadership achievements.",At least two back-and-forth exchanges (4+ messages total).,"End the conversation when I receive at least three specific, actionable suggestions (e.g., keywords like 'GTM strategy', format changes, or achievement examples) that I can apply directly to my resume.","The chatbot is successful if it provides concrete advice such as: (a) specific keywords for senior marketing manager roles (e.g., 'demand generation', 'cross-functional leadership'), (b) a recommended resume format (e.g., reverse-chronological with a summary), and (c) examples of achievements to include (e.g., 'increased pipeline by 50%'). If it only gives generic tips like 'update your resume' or 'use action verbs', it fails."
career-interview-prep_chatbot,career,Practice answering common interview questions with feedback on structure and delivery,You have an interview coming up. Share the role and company type.,Practice interview questions,Hello! Congratulations on the interview. What role is it for?,I need to know the role to ask relevant questions.,easy,"career, interview, preparation",Interview Coach,,Get interview preparation tips tailored to a software engineer role at a fast-growing tech startup.,"- Start by stating you have an interview and the role is software engineer, but initially say only that it's at a 'tech startup' without naming the company.
- If asked for more details, reveal the company is a Series B startup in fintech.
- Push back on generic advice (e.g., 'just practice coding' is too vague). Ask for specific questions or topics common for that stage/industry.
- Mention you have 5 days until the interview and want to prioritize preparation.",At least two back-and-forth exchanges (4+ messages total).,"End when you receive at least three specific topics or question types to focus on (e.g., system design, coding challenges, behavioral questions), OR after 5 chatbot turns.","The chatbot should provide concrete, actionable advice: for example, list 3-5 specific topics (like 'design a payment system', 'algorithms on arrays/strings', 'tell me about a time you resolved a conflict') and suggest resources or strategies tailored to a fintech startup. If it only gives generic tips like 'practice LeetCode' or 'be confident', it fails."
career-job-search_strategy_chatbot,career,Develop a job search strategy including platforms networking and application tracking,You are looking for a new job. The chatbot helps create a search plan.,Create a job search plan,Hello! What kind of role are you looking for and in what industry?,Job searching can take time. Stay organized and follow up on applications.,easy,"career, job-search, strategy",Job Search Coach,,Create a detailed job search plan with specific steps for targeting mid-level marketing roles in the tech industry within 3 months.,"['- Initially withhold that you have a preference for remote work and a salary range of $80k-$100k.', ""- Push back if the chatbot gives generic advice (e.g., 'update your resume') without specifics."", '- Mention your budget (salary range) only when asked about constraints or preferences.', '- Ask for clarification if the plan lacks concrete milestones or deadlines.']",At least three back-and-forth exchanges (6+ messages total).,"End conversation when the chatbot provides a step-by-step plan with at least 5 actionable items including resume tailoring, networking, and application targets, or after 8 chatbot messages if not satisfied.","The chatbot is considered helpful if it produces a plan that includes: (1) specific resume keywords for marketing roles, (2) a list of 10 target tech companies, (3) a networking outreach template, (4) a weekly application schedule, and (5) a method to track progress. The plan must be tailored to the user's remote work preference and salary range once revealed."
career-salary-negotiation_chatbot,career,Prepare for salary negotiation with market research and conversation strategies,You have a job offer or upcoming review. Share the role industry and offer details.,Prepare for salary negotiation,Hello! Congratulations on the offer. What is the role and what were you hoping for?,Consider the total compensation package not just base salary when evaluating offers.,medium,"career, salary, negotiation",Salary Coach,,"Get advice on negotiating a higher salary for a software engineering offer in the tech industry, with a base salary of $120,000, a $10,000 signing bonus, and stock options valued at $50,000 over four years.","['- Withhold specific numbers until asked.', ""- Push back on generic advice like 'ask for more' without concrete strategies."", '- Mention that you have competing offers from other tech companies but do not specify details until prompted.', '- Express concern about the cost of living in the job location (San Francisco).']",At least two back-and-forth exchanges (4+ messages total).,"End the conversation when you receive actionable negotiation tactics specific to the tech industry and your offer details, or after 5 exchanges without progress.","The chatbot provided specific negotiation strategies (e.g., leveraging competing offers, justifying a higher base salary based on market rates, or negotiating stock options) that reference the given numbers ($120k base, $10k signing, $50k stock) and the San Francisco cost of living."
career-linkedin-optimization_chatbot,career,Optimize your LinkedIn profile including headline summary and experience sections,Your LinkedIn headline says 'Looking for opportunities' and you have no recommendations. You want to attract recruiters in data science.,Optimize your LinkedIn profile,Hello! What is your current LinkedIn headline and what kind of opportunities are you looking for?,LinkedIn algorithm changes frequently. Keep your profile updated with current keywords.,easy,"career, linkedin, networking",LinkedIn Coach,,"Get actionable advice to improve LinkedIn profile to attract data science recruiters, specifically on headline, recommendations, and content.","[""Start by stating vague goal ('attract recruiters') without specifying data science."", ""Push back if advice is generic (e.g., 'just network'), ask for concrete steps."", 'Reveal data science focus only after chatbot asks about industry or role.', 'Mention you have no recommendations and are unsure how to get them.']",At least two back-and-forth exchanges (4+ messages total).,"Receive 3 specific, actionable changes for headline, recommendations, or profile content, OR after 5 turns of chatbot failing to provide concrete advice.","Chatbot provided at least: (1) a specific headline rewrite including 'data science' or 'data scientist', (2) a method to obtain recommendations (e.g., from past managers or colleagues), (3) a content suggestion (e.g., projects, skills, or keywords)."
career-career-change_chatbot,career,Get guidance on transitioning to a new career field including skill gap analysis and networking,You're a teacher of 10 years who wants to transition into corporate training. You have no business experience.,Plan your career transition,Hello! What field are you in now and what do you want to move into?,Career changes take time. Consider transferable skills and additional training you may need.,medium,"career, transition, change",Career Change Guide,,"Get a step-by-step transition plan from teaching to corporate training, including required certifications (e.g., CPTD, ATD credentials) and how to leverage teaching experience for business roles.","- Ask for specific certification names and costs
- Push back on vague advice like 'update your resume'
- Mention you have no business background and ask how to bridge gaps
- Request examples of how teaching skills transfer to corporate training",At least three back-and-forth exchanges (6+ messages total).,"When you receive a concrete list of 3-5 actionable steps with certification suggestions and a skills mapping example, or after 8 exchanges without progress.","The chatbot provided specific certifications (e.g., CPTD, ATD), a timeline (e.g., 6-12 months), and explicit transferable skills (e.g., curriculum design, presentation, assessment) with examples. If it only gives generic advice, the interaction is unsuccessful."
career-performance-review_chatbot,career,Prepare for a performance review with self-assessment accomplishment tracking and goal setting,You have a performance review coming up. Share your achievements and goals.,Prepare for your performance review,Hello! Performance reviews are a great opportunity. What have been your biggest accomplishments this period?,Document your achievements throughout the year so you are ready for review time.,easy,"career, performance, review",Performance Coach,,"Get the chatbot to help you craft a structured summary of your top 3 achievements and 2 goals for the upcoming performance review, with specific metrics and timelines.","- Initially provide only vague statements like 'I did well on a project' without details. - Wait for the chatbot to ask for specifics before revealing concrete achievements (e.g., 'increased sales by 15%'). - Push back if the chatbot gives generic advice like 'be positive' without actionable structure. - Mention that you need to include both achievements and future goals, and that the goals should be SMART.",At least three back-and-forth exchanges (6+ messages total).,"End the conversation when the chatbot provides a clear, bulleted list of your achievements with metrics (e.g., 'increased sales by 15% Q3') and goals with timelines (e.g., 'complete certification by June'), or after 8 turns if not satisfied.","The chatbot is successful if it extracts at least 2 specific achievements with numbers (e.g., 'boosted efficiency 20%') and 1 SMART goal with a deadline, and presents them in a structured format (e.g., bullet points or table)."
career-remote-work_chatbot,career,Get tips on remote work setup productivity tools and work-life balance,You are new to remote work or want to improve your setup. Share your current challenges.,Improve your remote work experience,Hello! Remote work has unique challenges. What is your biggest struggle with working remotely?,Everyone's remote setup is different. Experiment to find what works for you.,easy,"career, remote, productivity",Remote Work Guide,,"Get specific, actionable advice on improving my remote work setup, including recommendations for a monitor, chair, and desk within a $1000 budget.","- Start by describing vague challenges like 'back pain' and 'not productive' without giving specific details.
- If asked for budget, reveal $1000 limit only after the chatbot suggests expensive items.
- Push back on generic advice like 'get a comfortable chair' by asking for model names or specific features.
- Mention that I work 8+ hours daily and need ergonomic solutions.",At least three back-and-forth exchanges (6+ messages total).,"End conversation when I receive at least two concrete product recommendations (with brand/model) that fit within my $1000 budget, or after 5 chatbot turns without useful advice.","The chatbot succeeds if it provides at least two specific product recommendations (e.g., 'Herman Miller Aeron chair' or 'Jarvis standing desk') within $1000 total, and explains why they address my back pain and productivity issues. It fails if it only gives generic tips like 'take breaks' or 'adjust your screen height' without specifics."
career-freelance-guide_chatbot,career,Get guidance on starting freelancing including rates contracts taxes and finding clients,You're a web developer with 3 years of experience wanting to go freelance. You need help setting rates and finding first clients.,Start your freelance career,Hello! What service do you plan to offer as a freelancer?,Freelancing requires managing your own taxes insurance and retirement savings.,medium,"career, freelance, self-employed",Freelance Guide,,"Get a concrete strategy for setting freelance rates and finding first clients, with specific numbers and platforms.","- Ask for rate-setting advice without initially mentioning your specific skills or location.
- Push back if the chatbot gives generic advice like 'research the market' without specifics.
- Mention your budget for tools or marketing is $200 max.
- Request actionable steps, not just theory.",At least two back-and-forth exchanges (4+ messages total).,"End when you receive a specific rate range (e.g., $50-$100/hr) and a list of 2-3 client-finding platforms or methods.","The chatbot provided a specific hourly rate range (e.g., $50-$100/hr) tailored to your 3 years of experience, and named at least two concrete platforms (e.g., Upwork, LinkedIn) or methods (e.g., networking events) for finding clients, within your $200 budget."
career-certification-advice_chatbot,career,Get advice on professional certifications for your industry including cost time and career impact,You are considering a professional certification. Share your field and career goals.,Choose the right certification,Hello! What field are you in and what certification are you considering?,Certifications are valuable but weigh the cost and time against the expected career benefit.,easy,"career, certification, education",Certification Advisor,,"Get a recommendation for a professional certification in project management that aligns with my goal of becoming a senior project manager within 3 years, considering my current role as a junior project coordinator with a budget of under $2,000.","- Initially provide only your field (project management) and career goal (senior project manager), withholding budget and current role until asked.
- Push back if the chatbot suggests certifications that are too expensive (over $2,000) or not relevant to project management.
- Ask for details on exam costs, study materials, and time commitment before deciding.
- If the chatbot asks clarifying questions, answer them directly but stay focused on the goal.",At least two back-and-forth exchanges (4+ messages total).,"End when you receive a specific certification recommendation (e.g., PMP, CAPM, PRINCE2) with cost and time details that fit your budget and career timeline, or after 5 exchanges if no clear recommendation is given.","The chatbot succeeded if it recommends a certification that costs under $2,000, is relevant to project management, and provides concrete details (exam cost, study time, prerequisites). Failure if it suggests a certification over budget, irrelevant, or gives only generic advice without specifics."
government-dmv-services_chatbot,government,Get help with DMV services including license renewal registration and appointments,You need to handle a DMV task. Share your state and what you need to do.,Complete your DMV task,Hello! What state are you in and what DMV service do you need?,DMV rules vary significantly by state.,easy,"government, dmv, services",DMV Assistant,,Renew my driver's license in California and find out if I can do it online.,"['- Mention the state (California) only after the chatbot asks.', ""- Specify that I need to renew my driver's license."", '- Push back if the chatbot gives generic advice without checking my state.', '- Mention that I have a valid passport as ID if asked.']",At least two back-and-forth exchanges (4+ messages total).,End when the chatbot confirms whether online renewal is possible for California and provides the necessary steps or alternative options.,"The chatbot correctly identifies that California offers online renewal for eligible drivers, and provides specific steps (e.g., visit the CA DMV website, have a valid passport, pay the fee). Alternatively, if ineligible, it explains why and offers in-person or mail options."
government-passport_chatbot,government,Get guidance on applying for or renewing a US passport,You need a passport. Share whether this is a first-time application or renewal.,Apply for or renew a passport,Hello! Is this a first-time passport or a renewal?,Processing times vary by season. Apply well before any planned travel.,easy,"government, passport, travel",Passport Guide,,"Determine whether you need a first-time passport or a renewal, and get step-by-step instructions for the application process.","[""- Initially state that you need a passport but do not specify if it's first-time or renewal until asked."", ""- If asked, clarify that it's a first-time application."", '- Ask about required documents, fees, and processing times.', '- Mention that you are on a tight budget and need the cheapest option.']",At least two back-and-forth exchanges (4+ messages total).,"End the conversation when you receive a clear list of required documents, fees, and processing times for a first-time passport application, or after 5 turns if not satisfied.","The chatbot succeeded if it identified the application as first-time, provided a specific list of documents (e.g., proof of citizenship, photo ID, passport photo, application form DS-11), mentioned the fee for first-time applicants, and gave an estimated processing time."
government-tax-help_chatbot,government,Get guidance on filing federal and state taxes including common forms and deadlines,You need help understanding tax filing. Share your filing status and income sources.,Understand tax filing requirements,Hello! What is your filing status and do you have any dependents?,I am not a tax professional. For complex situations consult a CPA or tax attorney.,easy,"government, tax, filing",Tax Help,,Get step-by-step guidance on how to file taxes as a single filer with W-2 income and freelance earnings.,"['- Initially state only that you are single and have W-2 income; withhold freelance details until asked.', '- Push back if the chatbot gives generic advice without asking about income sources.', '- Mention that you earned $5,000 in freelance income last year when prompted.', '- Express confusion about deductions for freelance expenses.']",At least two back-and-forth exchanges (4+ messages total).,"End when you receive a clear list of steps to file including how to report W-2 and freelance income, and an explanation of deductions for freelance expenses.","The chatbot helped if it identified both W-2 and freelance income, provided specific forms (e.g., W-2, Schedule C), and explained deductible expenses like home office or supplies."
government-benefits-eligibility_chatbot,government,Check eligibility for government benefits including SNAP Medicaid and housing assistance,"You're a single parent with two kids earning $35,000/year. You want to know if you qualify for SNAP or Medicaid.",Check benefit eligibility,Hello! Which benefit program are you interested in learning about?,Eligibility requirements vary by state and may have changed recently. Check with your local office.,medium,"government, benefits, assistance",Benefits Guide,,"Find out if I qualify for SNAP or Medicaid based on my income of $35,000/year and household size of 3 (single parent with two kids).","['Provide accurate household size and income only when asked directly.', 'If the chatbot gives generic info, ask for specific income thresholds for a family of 3.', 'Mention that you are a single parent and have two children, but do not volunteer specific ages unless asked.', ""If the chatbot asks for state, provide 'Texas' (or any default state) to test location-specific eligibility.""]",At least two back-and-forth exchanges (4+ messages total).,"End the conversation when the chatbot gives a clear yes/no answer regarding SNAP and Medicaid eligibility for your specific income and household size, or after 5 chatbot messages if unclear.","The chatbot successfully determines that a household of 3 with $35,000/year likely exceeds SNAP income limits (typically 130% FPL) but may qualify for Medicaid if children are covered under CHIP. The chatbot should provide state-specific thresholds or direct to application."
government-business-license_chatbot,government,Get guidance on business licenses permits and registration requirements for your location,"You want to open a food truck in Austin, Texas. You need to know what licenses and permits are required.",Find license requirements,Hello! What type of business are you starting and in what city and state?,License requirements vary significantly by location and industry. Check with your city and county offices.,medium,"government, business, licenses",Business License Guide,,"Get a complete list of all required licenses and permits to legally operate a food truck in Austin, Texas.","['- Start by asking a general question about requirements without specifying Austin or Texas.', '- If the chatbot asks for location, provide Austin, Texas.', '- If the chatbot gives a generic answer, push back and ask for specific permits for mobile food vendors.', '- Ask about health department permits, business license, and mobile vending permit explicitly.']",At least three back-and-forth exchanges (6+ messages total).,"End conversation when you receive a list of specific permits (e.g., Mobile Food Unit Permit, Health Permit, Sales Tax Permit), or after 5 exchanges if not resolved.","The chatbot successfully provided a list of at least three specific permits: Mobile Food Unit Permit from Austin Public Health, a Texas Sales and Use Tax Permit, and a City of Austin Business License. It also mentioned any additional requirements like food manager certification or commissary agreement."
food-meal-prep_chatbot,food,Get a weekly meal prep plan with batch cooking instructions and storage guidance,"You're a vegetarian with only 1 hour on Sundays to prep meals for the week. You want balanced, high-protein recipes.",Get a meal prep plan,Hello! How many meals do you need and how much time can you spend cooking?,I need to know your dietary preferences and how many meals you need.,easy,"food, meal-prep, cooking",Meal Prep Planner,,"Get 3-4 vegetarian, high-protein meal prep recipes that can be prepared in under 1 hour on Sunday.","['- Specify dietary restriction: vegetarian (no meat, fish, or gelatin).', '- Emphasize time limit: only 1 hour on Sunday for all prep.', '- Ask for protein content per serving (aim for at least 15g per meal).', '- If chatbot suggests recipes with long cook times or non-vegetarian ingredients, push back politely.']",At least two back-and-forth exchanges (4+ messages total).,"End when you receive 3-4 specific recipes with approximate prep time and protein per serving, or after 5 turns of chatbot failing to provide concrete recipes.",Chatbot provided at least 3 vegetarian recipes with total prep time ≤1 hour and protein ≥15g per serving. Each recipe includes ingredients and steps.
food-restaurant-recommendation_chatbot,food,Get restaurant recommendations based on cuisine location budget and occasion,It's your anniversary and you want a romantic Italian dinner in downtown Chicago for under $100 per person.,Find a restaurant,Hello! What type of food are you in the mood for?,I need to know what kind of food you want and the general area.,easy,"food, restaurant, dining",Restaurant Guide,,"Find a romantic Italian restaurant in downtown Chicago for an anniversary dinner, with a total cost under $100 per person (including tax and tip).","- Initially state only the desire for a romantic Italian dinner in downtown Chicago.
- Push back if the chatbot suggests non-Italian cuisines or locations outside downtown.
- Mention the $100 per person budget only after the chatbot proposes options, to test if it can tailor recommendations.
- Ask about ambiance (e.g., candlelight, quiet) and any special anniversary offerings (e.g., complimentary dessert).",At least three back-and-forth exchanges (6+ messages total).,"End the conversation when the chatbot provides at least one specific restaurant recommendation that meets all criteria: Italian, downtown Chicago, under $100 per person, and romantic ambiance (e.g., candlelit, quiet). If the chatbot fails to meet these after 8 exchanges, terminate with a statement that the recommendations are not suitable.","Success if the chatbot recommends at least one specific Italian restaurant in downtown Chicago with an estimated per-person cost under $100 (including tax/tip) and described as romantic (e.g., candlelit, quiet, anniversary-friendly). Failure if the chatbot suggests non-Italian, outside downtown, over budget, or generic recommendations without cost/ambiance details."
food-wine-pairing_chatbot,food,Get wine pairing suggestions for your meal including varietals regions and price points,You are planning a meal and want wine pairing ideas. Share the dish and your budget.,Get wine pairing suggestions,Hello! What dish are you serving and what is your wine budget?,Wine pairing is subjective. These are general guidelines not rules.,easy,"food, wine, pairing",Wine Guide,,"Get specific wine pairing recommendations for a chicken in white wine sauce dish, with a budget of $25 or less per bottle.","['- Initially only state the dish and ask for a pairing; wait for the chatbot to ask about budget before revealing it.', ""- If the chatbot gives generic advice (e.g., 'white wine goes with chicken'), push back by saying you have a specific sauce and need a precise grape or region."", '- If the chatbot recommends a wine over $25, politely decline and remind of the budget.', '- Express preference for dry wines, not sweet.']",At least two back-and-forth exchanges (4+ messages total).,"End the conversation when you receive a specific wine recommendation (grape, region, or brand) under $25 that pairs with chicken in white wine sauce, or after 5 chatbot messages without a satisfactory answer.","The chatbot succeeds if it recommends at least one specific wine (e.g., Chardonnay from Chablis, unoaked) that is under $25 and explicitly mentions it pairs with the white wine sauce, not just generic chicken. Failure if it only gives vague advice or recommends a wine over $25."
food-recipe-scaling_chatbot,food,Scale a recipe up or down adjust servings and convert measurements,You need to adjust a recipe for a different number of servings. Share the original quantities.,Scale your recipe,Hello! How many servings does the recipe make and how many do you need?,Baking recipes require precise measurements for best results.,easy,"food, recipe, cooking",Recipe Helper,,"Get the recipe for chocolate chip cookies adjusted from 24 servings to 12 servings, with original quantities of 2 cups flour, 1 cup butter, 1 cup sugar, 2 eggs.","['Start by stating the original recipe and the desired serving size without giving the new quantities.', 'If the chatbot asks for specific ingredients, provide them one at a time.', 'Do not accept generic scaling advice; insist on exact adjusted measurements.', 'If the chatbot provides a scaled recipe, verify the math (e.g., halving each ingredient).']",At least two back-and-forth exchanges (4+ messages total).,"End the conversation when the chatbot provides the exact adjusted quantities for all four ingredients (flour, butter, sugar, eggs) that are correctly halved, or after 6 messages if the chatbot fails to give a complete answer.","The chatbot succeeded if it outputs: flour: 1 cup, butter: 1/2 cup, sugar: 1/2 cup, eggs: 1 egg (or equivalent). Failure if it only gives a scaling factor without specific numbers, or if any ingredient is missing or miscalculated."
