pair_id,source_attribute_id,target_attribute_id,source_label,target_label,source_category,target_category,source_subcategory,target_subcategory,embedding_similarity,lexical_similarity,evidence_support,retrieval_relation_hint,retrieval_status,candidate_source,step4_relation_hint,step4_score,pre_llm_pair_score,relation_type,merge_decision,direction,llm_confidence,rationale,llm_provider,llm_model,final_merge_confidence
pair_attr_life_context_and_constraints_in__attr_life_context_and_constraints_re__8ba9201f6e02,attr_life_context_and_constraints__industry_code_based_on_naics_2007__9db70ad3df,attr_life_context_and_constraints__respondent_s_industry_code_naics_2007__47c55b3caf,industry code based on naics 2007,respondent's industry code (naics 2007),Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.752,0.8,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.8,0.77,alias_of,merge,B_to_A,0.9,Industry code and respondent's industry code are the same construct; direction B_to_A as respondent's code is specific.,openai,gpt-4.1-mini,0.8215
pair_attr_demographics_and_population_doe__attr_demographics_and_population_doe__e5fb2b401535,attr_demographics_and_population__does_r_know_hispanics_from_work__399a1e5d55,attr_demographics_and_population__does_r_know_whites_from_work__63cb920535,does r know hispanics from work,does r know whites from work,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8202,0.8475,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7694,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.4441
pair_attr_life_context_and_constraints_pe__attr_life_context_and_constraints_pe__017f51da21b8,attr_life_context_and_constraints__person_1_is_r_s_coworker__7cdf04e4ca,attr_life_context_and_constraints__person_1_is_r_s_sibling__6c4a74e5cf,person #1 is r's coworker,person #1 is r's sibling,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8654,0.6939,0.7973,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.769,not_related,keep_separate,none,0.9,Person #1 being coworker and sibling are distinct relationship types with no hierarchical relation.,openai,gpt-4.1-mini,0.8484
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_mi__261f72138f09,attr_life_context_and_constraints__hours_per_week_using_work_computer_job__7d74520a35,attr_life_context_and_constraints__minutes_per_week_using_work_computer_personal_i__273fe29495,hours per week using work computer job,minutes per week using work computer personal i,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8518,0.7765,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.769,keep_separate,keep_separate,none,0.9,Different units (hours vs minutes) and different contexts (work computer job vs personal use) measure related but distinct constructs.,openai,gpt-4.1-mini,0.848
pair_attr_domain_specific_overlays_number__attr_domain_specific_overlays_number__3730645fa90c,attr_domain_specific_overlays__number_of_mark_r_is_acquainted_with__57b6c8665b,attr_domain_specific_overlays__number_of_white_r_is_acquainted_with__43bdd9e11f,number of mark r is acquainted with,number of white r is acquainted with,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.8078,0.8732,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.769,keep_separate,keep_separate,none,0.85,Counts of acquaintances with different individuals (mark vs white) are related but distinct attributes.,openai,gpt-4.1-mini,0.8268
pair_attr_domain_specific_overlays_who_wo__attr_domain_specific_overlays_who_wo__0cbb532a3e20,attr_domain_specific_overlays__who_would_r_has_voted_for_in_2000_election__a814e0c6bc,attr_domain_specific_overlays__who_would_r_have_voted_for_1980_election__ba58826b58,who would r has voted for in 2000 election,who would r have voted for-1980 election,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.8276,0.8293,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7689,keep_separate,keep_separate,none,0.9,Voting preferences in different election years are related but distinct attributes.,openai,gpt-4.1-mini,0.8486
pair_attr_demographics_and_population_gen__attr_demographics_and_population_gen__0ab40122a93a,attr_demographics_and_population__gender_of_2nd_person__1d8c0b274c,attr_demographics_and_population__gender_of_4th_person__2670f11bad,gender of 2nd person,gender of 4th person,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8182,0.85,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7689,keep_separate,keep_separate,none,0.9,Gender of different persons are distinct demographic attributes.,openai,gpt-4.1-mini,0.8489
pair_attr_domain_specific_overlays_number__attr_domain_specific_overlays_number__d20449b3c177,attr_domain_specific_overlays__number_of_black_r_is_acquainted_with__0fc04cd956,attr_domain_specific_overlays__number_of_jose_r_is_acquainted_with__30baff4203,number of black r is acquainted with,number of jose r is acquainted with,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.8077,0.8732,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7689,keep_separate,keep_separate,none,0.85,Counts of acquaintances with different individuals (black vs jose) are related but distinct.,openai,gpt-4.1-mini,0.8267
pair_attr_domain_specific_overlays_how_mu__attr_domain_specific_overlays_how_mu__13ee20b6101d,attr_domain_specific_overlays__how_much_info_does_r_have_on_crime_issue__a2b85e6e41,attr_domain_specific_overlays__how_much_info_does_r_have_on_porn_issue__6673bac8f4,how much info does r have on crime issue,how much info does r have on porn issue,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.7902,0.9114,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7689,keep_separate,keep_separate,none,0.9,Information on different issues (crime vs porn) are related but distinct constructs.,openai,gpt-4.1-mini,0.8497
pair_attr_demographics_and_population_doe__attr_demographics_and_population_doe__c7b1337e95df,attr_demographics_and_population__does_r_know_hispanics_from_community__2419c3a811,attr_demographics_and_population__does_r_know_whites_from_community__5a25c27d97,does r know hispanics from community,does r know whites from community,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8091,0.8696,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7688,keep_separate,keep_separate,none,0.9,Knowing different ethnic groups in community are related but distinct attributes.,openai,gpt-4.1-mini,0.8491
pair_attr_demographics_and_population_gen__attr_demographics_and_population_gen__95717869ab82,attr_demographics_and_population__gender_of_1st_person__ef8775aa26,attr_demographics_and_population__gender_of_4th_person__2670f11bad,gender of 1st person,gender of 4th person,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.7953,0.9,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7688,keep_separate,keep_separate,none,0.9,Gender of different persons are distinct demographic attributes.,openai,gpt-4.1-mini,0.8495
pair_attr_demographics_and_population_age__attr_demographics_and_population_rac__3df56bafc942,attr_demographics_and_population__age_of_murder_victim_3rd_closest_to_r__6e8db2ce95,attr_demographics_and_population__race_of_murder_victim_closest_to_r__b43512e170,age of murder victim 3rd closest to r,race of murder victim closest to r,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.7947,0.9014,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7688,not_related,keep_separate,none,0.9,"Age and race of murder victims are distinct demographic attributes, not hierarchical or duplicates.",openai,gpt-4.1-mini,0.8496
pair_attr_personality_traits_listen_to_my__attr_personality_traits_prefer_to_le__fae848a64020,attr_personality_traits__listen_to_my_feelings_when_making_important_decisions__bb8144cc93,attr_personality_traits__prefer_to_let_my_feelings_decide_what_i_should_do_when__fc7bb45d95,Listen to my feelings when making important decisions.,Prefer to let my feelings decide what I should do when making important decisions.,Personality Traits,Personality Traits,ipip personality items,ipip personality items,0.7858,0.7206,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.6667,0.7688,alias_of,merge,symmetric,0.95,"Both measure the same construct of relying on feelings in decision making, suitable for merging.",openai,gpt-4.1-mini,0.8423
pair_attr_domain_specific_overlays_tool_j__attr_domain_specific_overlays_tool_r__39a5d04ffea9,attr_domain_specific_overlays__tool_jupyter__8756efb693,attr_domain_specific_overlays__tool_r__89a8695750,Tool: Jupyter,Tool: R,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.713,1.0,0.5108,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_broader_narrower,1.0,0.7688,not_related,keep_separate,none,0.9,Experience with different tools (Jupyter vs R) are distinct attributes.,openai,gpt-4.1-mini,0.82
pair_attr_domain_specific_overlays_number__attr_domain_specific_overlays_number__df9da883990e,attr_domain_specific_overlays__number_of_gay_r_is_acquainted_with__959e8c7037,attr_domain_specific_overlays__number_of_rachel_r_is_acquainted_with__d12efb19cd,number of gay r is acquainted with,number of rachel r is acquainted with,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.7945,0.9014,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7687,keep_separate,keep_separate,none,0.85,Counts of acquaintances with different individuals (gay vs rachel) are related but distinct.,openai,gpt-4.1-mini,0.827
pair_attr_social_identity_relationship_nu__attr_social_identity_relationship_nu__5258053c705d,attr_social_identity_relationship__number_of_black_in_neighborhood__8079845d11,attr_social_identity_relationship__number_of_mark_in_neighborhood__866e2e7db4,number of black in neighborhood,number of mark in neighborhood,"Social Identity, Relationships & Community","Social Identity, Relationships & Community",social identity relationships and community,social identity relationships and community,0.7867,0.918,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7686,keep_separate,keep_separate,none,0.85,Number of different individuals in neighborhood (black vs mark) are related but distinct.,openai,gpt-4.1-mini,0.8272
pair_attr_demographics_and_population_rel__attr_demographics_and_population_rel__204f9468d2a9,attr_demographics_and_population__relationship_of_9th_person_to_household_head__117e7052e9,attr_demographics_and_population__relationship_of_person_14_to_head_of_household__6d5b9f891b,relationship of 9th person to household head,relationship of person 14 to head of household,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.7596,0.7778,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.6667,0.7686,keep_separate,keep_separate,none,0.85,Relationship of different persons to household head are distinct demographic attributes.,openai,gpt-4.1-mini,0.798
pair_attr_cognitive_and_capability_pro_pr__attr_cognitive_and_capability_pro_pr__df2271bf636b,attr_cognitive_and_capability_pro__programming_f__28ab3bed00,attr_cognitive_and_capability_pro__programming_powershell__c6fcb66bea,Programming: F#,Programming: PowerShell,Cognitive & Capability Profile,Cognitive & Capability Profile,cognitive and capability profile,cognitive and capability profile,0.7073,1.0,0.5308,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_broader_narrower,1.0,0.7686,not_related,keep_separate,none,0.9,Proficiency in different programming languages (F# vs PowerShell) are distinct.,openai,gpt-4.1-mini,0.8203
pair_attr_personality_traits_have_been_to__attr_personality_traits_have_been_to__f76e9da9d4f0,attr_personality_traits__have_been_told_by_others_that_my_thinking_patterns_don__29e1ef6984,attr_personality_traits__have_been_told_that_my_stories_don_t_make_sense__39516c354c,Have been told by others that my thinking patterns don't make sense.,Have been told that my stories don't make sense.,Personality Traits,Personality Traits,ipip personality items,ipip personality items,0.8589,0.7586,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7685,alias_of,merge,symmetric,0.9,"Both measure being told thinking/stories don't make sense, same construct.",openai,gpt-4.1-mini,0.8474
pair_attr_domain_specific_overlays_who_wo__attr_domain_specific_overlays_who_wo__24abb54f9f29,attr_domain_specific_overlays__who_would_r_have_voted_for_1988_election__6a8610e905,attr_domain_specific_overlays__who_would_r_have_voted_for_in_2012_election__286842a801,who would r have voted for-1988 election,who would r have voted for in 2012 election,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.8094,0.8675,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7685,keep_separate,keep_separate,none,0.9,Voting preferences in different election years are related but distinct.,openai,gpt-4.1-mini,0.8489
pair_attr_demographics_and_population_reg__attr_demographics_and_population_sex__f1f0175923d6,attr_demographics_and_population__region_of_aids_victim_2nd_closest_to_r__9120221b37,attr_demographics_and_population__sex_of_aids_victim_3rd_closest_to_r__0e2993c55a,region of aids victim 2nd closest to r,sex of aids victim 3rd closest to r,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8174,0.8493,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7683,not_related,keep_separate,none,0.9,Region and sex of different aids victims are distinct demographic attributes.,openai,gpt-4.1-mini,0.8486
pair_attr_demographics_and_population_gen__attr_demographics_and_population_gen__8abf29eeac35,attr_demographics_and_population__gender_of_3rd_person__714b717429,attr_demographics_and_population__gender_of_6th_person__f6a6d0a812,gender of 3rd person,gender of 6th person,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8171,0.85,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7683,keep_separate,keep_separate,none,0.9,Gender of different persons are distinct demographic attributes.,openai,gpt-4.1-mini,0.8486
pair_attr_domain_specific_overlays_did_r__attr_domain_specific_overlays_did_r__7aa6ddd6dcd7,attr_domain_specific_overlays__did_r_vote_in_1984_election__53a880c3a8,attr_domain_specific_overlays__did_r_vote_in_2000_election__62e260f2d8,did r vote in 1984 election,did r vote in 2000 election,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.8162,0.8519,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7683,keep_separate,keep_separate,none,0.9,Voting in different election years are related but distinct.,openai,gpt-4.1-mini,0.8486
pair_attr_domain_specific_overlays_number__attr_domain_specific_overlays_number__21ac265665c9,attr_domain_specific_overlays__number_of_asian_r_is_acquainted_with__c32733b747,attr_domain_specific_overlays__number_of_mark_r_is_acquainted_with__57b6c8665b,number of asian r is acquainted with,number of mark r is acquainted with,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.7936,0.9014,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7682,keep_separate,keep_separate,none,0.85,Counts of acquaintances with different individuals (asian vs mark) are related but distinct.,openai,gpt-4.1-mini,0.8267
pair_attr_domain_specific_overlays_number__attr_domain_specific_overlays_number__796e9cccaa57,attr_domain_specific_overlays__number_of_keith_r_is_acquainted_with__eb90bf925c,attr_domain_specific_overlays__number_of_rachel_r_is_acquainted_with__d12efb19cd,number of keith r is acquainted with,number of rachel r is acquainted with,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.8043,0.8767,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.768,keep_separate,keep_separate,none,0.85,Counts of acquaintances with different individuals (keith vs rachel) are related but distinct.,openai,gpt-4.1-mini,0.8262
pair_attr_demographics_and_population_ame__attr_demographics_and_population_cho__8997f77fce83,attr_demographics_and_population__american_indian_or_alaska_native__6786ba8f4f,attr_demographics_and_population__choose_one_or_more_races_that_you_consider_yourself_to__a56d09fdce,american indian or alaska native,Choose one or more races that you consider yourself to be - American Indian/Native American or Alaska Native,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.7753,0.8,0.6101,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.8,0.7679,alias_of,merge,symmetric,0.9,"Both capture American Indian/Alaska Native identity, same construct.",openai,gpt-4.1-mini,0.8186
pair_attr_personality_traits_become_overw__attr_personality_traits_get_overwhel__1673ad5db5b4,attr_personality_traits__become_overwhelmed_by_events__b3ebbf6471,attr_personality_traits__get_overwhelmed_by_emotions__ce5fc765cf,Become overwhelmed by events.,Get overwhelmed by emotions.,Personality Traits,Personality Traits,ipip personality items,ipip personality items,0.8677,0.7368,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7678,alias_of,merge,symmetric,0.9,"Both measure becoming overwhelmed, same construct.",openai,gpt-4.1-mini,0.8468
pair_attr_demographics_and_population_rel__attr_demographics_and_population_rel__8de421c1ded8,attr_demographics_and_population__relationship_of_person_11_to_spouse_of_househo__0279732011,attr_demographics_and_population__relationship_of_person_12_to_head_of_household__0347962b8f,relationship of person 11 to spouse of househo,relationship of person 12 to head of household,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8071,0.8696,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7677,keep_separate,keep_separate,none,0.85,Relationship of different persons to household members are distinct demographic attributes.,openai,gpt-4.1-mini,0.826
pair_attr_domain_specific_overlays_number__attr_domain_specific_overlays_number__f6fcc37e018a,attr_domain_specific_overlays__number_of_karen_r_is_acquainted_with__f6b02acde6,attr_domain_specific_overlays__number_of_republican_r_is_acquainted_with__530acaf03a,number of karen r is acquainted with,number of republican r is acquainted with,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.8009,0.8831,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7677,keep_separate,keep_separate,none,0.85,Counts of acquaintances with different individuals (karen vs republican) are related but distinct.,openai,gpt-4.1-mini,0.8262
pair_attr_domain_specific_overlays_number__attr_domain_specific_overlays_number__08e66ab67991,attr_domain_specific_overlays__number_of_gay_r_is_acquainted_with__959e8c7037,attr_domain_specific_overlays__number_of_jose_r_is_acquainted_with__30baff4203,number of gay r is acquainted with,number of jose r is acquainted with,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.7939,0.8986,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7677,keep_separate,keep_separate,none,0.85,Counts of acquaintances with different individuals (gay vs jose) are related but distinct.,openai,gpt-4.1-mini,0.8264
pair_attr_demographics_and_population_nat__attr_demographics_and_population_whi__1c7088fd3c20,attr_demographics_and_population__native_hawaiian_recode_native_hawaiian_alone_or_in_com__2b53750385,attr_demographics_and_population__white_recode_white_alone_or_in_combination_with_one_or__9f37a81f8d,Native Hawaiian recode (Native Hawaiian alone or in combination with one or more other races),White recode (White alone or in combination with one or more other races),Demographics & Population Grounding,Demographics & Population Grounding,core demographics race ethnicity citizenship nativity and ancestry,core demographics race ethnicity citizenship nativity and ancestry,0.7445,0.8072,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.7778,0.7677,keep_separate,keep_separate,none,0.85,Native Hawaiian vs White recodes are distinct demographic categories.,openai,gpt-4.1-mini,0.7979
pair_attr_demographics_and_population_att__attr_demographics_and_population_rac__b1f9a67ab235,attr_demographics_and_population__attended_auto_race_in_lst_yr__43175dd748,attr_demographics_and_population__race_of_respondent__2a5586a690,attended auto race in lst yr,race of respondent,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.6569,1.0,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_broader_narrower,1.0,0.7677,not_related,keep_separate,none,0.7,Attending auto race and race of respondent are unrelated demographic attributes.,openai,gpt-4.1-mini,0.733
pair_attr_demographics_and_population_res__attr_demographics_and_population_sex__d552dea4236b,attr_demographics_and_population__respondent_s_sex_assigned_at_birth_2021__9c729bbea7,attr_demographics_and_population__sex__c69d66dadc,respondent's sex assigned at birth (2021),Sex,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,core demographics race ethnicity citizenship nativity and ancestry,0.6322,1.0,0.7891,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_broader_narrower,1.0,0.7661,alias_of,merge,symmetric,0.9,Respondent's sex assigned at birth and Sex attribute measure the same construct.,openai,gpt-4.1-mini,0.8236
pair_attr_domain_specific_overlays_tool_m__attr_domain_specific_overlays_tool_r__12612f326002,attr_domain_specific_overlays__tool_matlab__2f3e751642,attr_domain_specific_overlays__tool_r__89a8695750,Tool: MATLAB,Tool: R,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.7058,1.0,0.5108,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_broader_narrower,1.0,0.7648,not_related,keep_separate,none,0.95,Different tools (MATLAB vs R) represent distinct constructs.,openai,gpt-4.1-mini,0.8403
pair_attr_worldview_beliefs_and_attitu_fi__attr_worldview_beliefs_and_attitu_fi__55163a785620,attr_worldview_beliefs_and_attitu__find_comfort_in_religion_or_spirituality__931f5ac8cf,attr_worldview_beliefs_and_attitu__find_strength_and_comfort_in_religion__5bb388e15b,find comfort in religion or spirituality,find strength and comfort in religion,"Worldview, Beliefs & Attitudes","Worldview, Beliefs & Attitudes",religiosity and spiritual beliefs,religiosity and spiritual beliefs,0.9135,0.6234,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7647,alias_of,merge,symmetric,0.9,Both measure comfort in religion/spirituality with high embedding similarity and overlapping meaning.,openai,gpt-4.1-mini,0.8435
pair_attr_personality_traits_love_to_be_t__attr_personality_traits_make_myself__f78e2a91d395,attr_personality_traits__love_to_be_the_center_of_attention__66eb5704f5,attr_personality_traits__make_myself_the_center_of_attention__7a605d7a3e,Love to be the center of attention.,Make myself the center of attention.,Personality Traits,Personality Traits,ipip personality items,ipip personality items,0.838,0.7887,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7645,alias_of,merge,symmetric,0.9,Both measure desire to be center of attention with similar meaning.,openai,gpt-4.1-mini,0.8456
pair_attr_domain_specific_overlays_tool_p__attr_domain_specific_overlays_tool_r__92c391d4fff2,attr_domain_specific_overlays__tool_python__e57fa10880,attr_domain_specific_overlays__tool_r__89a8695750,Tool: Python,Tool: R,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.7052,1.0,0.5108,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_broader_narrower,1.0,0.7645,not_related,keep_separate,none,0.95,Different programming tools (Python vs R) represent distinct constructs.,openai,gpt-4.1-mini,0.8401
pair_attr_demographics_and_population_1st__attr_demographics_and_population_cou__b48000b16028,attr_demographics_and_population__1st_mentioned_country_of_spouse_s_origin__af8abc2438,attr_demographics_and_population__country_of_spouse_s_family_origin__436c3f9271,1st mentioned country of spouse's origin,country of spouse's family origin,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8722,0.7123,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7642,alias_of,merge,symmetric,0.9,Both measure country of spouse's origin with slightly different wording but same meaning.,openai,gpt-4.1-mini,0.8444
pair_attr_personality_traits_follow_my_ow__attr_personality_traits_make_my_own__2e00654274e5,attr_personality_traits__follow_my_own_rules__c989cb3a79,attr_personality_traits__make_my_own_rules__2a72e7cf92,Follow my own rules.,Make my own rules.,Personality Traits,Personality Traits,ipip personality items,ipip personality items,0.8596,0.7368,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7634,alias_of,merge,symmetric,0.9,Follow my own rules and make my own rules are semantically equivalent.,openai,gpt-4.1-mini,0.8443
pair_attr_personality_traits_have_physica__attr_personality_traits_physically_i__47171974d03b,attr_personality_traits__have_physically_threatened_someone_to_get_what_i_want__b06c49ad3b,attr_personality_traits__physically_intimidate_people_to_get_what_i_want__df93c615d3,Have physically threatened someone to get what I want.,Physically intimidate people to get what I want.,Personality Traits,Personality Traits,ipip personality items,ipip personality items,0.8468,0.7647,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7633,alias_of,merge,symmetric,0.9,Both measure physically threatening/intimidating others to get what I want.,openai,gpt-4.1-mini,0.8447
pair_attr_personality_traits_do_things_at__attr_personality_traits_do_things_my__a2456c79c59d,attr_personality_traits__do_things_at_my_own_pace__af829ccf0c,attr_personality_traits__do_things_my_own_way__390aa6b3a7,Do things at my own pace.,Do things my own way.,Personality Traits,Personality Traits,ipip personality items,ipip personality items,0.8184,0.8261,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7631,alias_of,merge,symmetric,0.9,Do things at my own pace and do things my own way are semantically equivalent.,openai,gpt-4.1-mini,0.8454
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__af626ea7f7ae,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_informal_group4__9ecf93d07f,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_national_group1__4aef6e4d2c,how many years r born a member of informal group4,how many years r born a member of national group1,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.7848,0.898,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7626,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.4411
pair_attr_behavioral_patterns_and_pref_ho__attr_behavioral_patterns_and_pref_wh__5433e0d798c1,attr_behavioral_patterns_and_pref__hobbies_and_interests__f1a0121137,attr_behavioral_patterns_and_pref__what_are_your_main_hobbies_and_interests__5196a4b107,Hobbies And Interests,What are your main hobbies and interests?,Behavioral Patterns & Preferences,Behavioral Patterns & Preferences,interests and preferences,behavioral patterns and preferences,0.698,1.0,0.5108,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_broader_narrower,1.0,0.7605,alias_of,merge,symmetric,0.95,"Both capture hobbies and interests, same construct with different phrasing.",openai,gpt-4.1-mini,0.838
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__b504001fe11f,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_school_service_group__c40fa108f2,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_youth_groups2__973c5ce62d,how many years r born a member of school service group1,how many years r born a member of youth groups2,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8236,0.8039,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7604,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.4386
pair_attr_demographics_and_population_rel__attr_demographics_and_population_res__0e7c7c28c18c,attr_demographics_and_population__relationship_of_person_1_to_head_of_household__0ee43f3a9b,attr_demographics_and_population__respondent_s_relationship_to_household_head__e77cfa93eb,relationship of person 1 to head of household,respondent's relationship to household head,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.7395,0.75,0.7738,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.75,0.7603,alias_of,merge,symmetric,0.95,"Both describe relationship to household head, same construct.",openai,gpt-4.1-mini,0.8392
pair_attr_personality_traits_fantasy_e395__attr_personality_traits_fantasy_pron__7123dc849e83,attr_personality_traits__fantasy__e395fa8421,attr_personality_traits__fantasy_proneness__964a9114e6,Fantasy,Fantasy Proneness,Personality Traits,Personality Traits,facet map personality facets,ipip personality scales,0.6432,1.0,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_broader_narrower,1.0,0.7602,alias_of,merge,symmetric,0.9,Fantasy and fantasy proneness measure same construct with different labels.,openai,gpt-4.1-mini,0.8189
pair_attr_life_context_and_constraints_nu__attr_life_context_and_constraints_nu__820f46377b3f,attr_life_context_and_constraints__number_of_linda_in_current_or_previous_work__7bfaf7e86e,attr_life_context_and_constraints__number_of_ppl_in_prison_in_current_or_previous_work__1c762094cc,number of linda in current or previous work,number of ppl in prison in current or previous work,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.7008,0.8723,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.6667,0.7599,not_related,keep_separate,none,0.9,"Number of different individuals in work context, unrelated constructs.",openai,gpt-4.1-mini,0.817
