pair_id,source_attribute_id,target_attribute_id,source_label,target_label,source_category,target_category,source_subcategory,target_subcategory,embedding_similarity,lexical_similarity,evidence_support,retrieval_relation_hint,retrieval_status,candidate_source,step4_relation_hint,step4_score,pre_llm_pair_score,relation_type,merge_decision,direction,llm_confidence,rationale,final_merge_confidence,llm_provider,llm_model,edge_weight
pair_attr_demographics_and_population_age__attr_demographics_and_population_age__4dc45965e387,attr_demographics_and_population__age_of_first_person_in_household_screening__ac40e59fec,attr_demographics_and_population__age_of_second_person_in_household_screening_if_applica__1e135e417e,age of first person in household screening,age of second person in household screening (if applicable),Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.876,0.7525,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.6667,0.8263,related_but_distinct,keep_separate,none,0.85,Age of first vs second person in household screening are related but distinct.,0.8291,openai,gpt-4.1-mini,0.493
pair_attr_life_context_and_constraints_do__attr_life_context_and_constraints_do__61193365b576,attr_life_context_and_constraints__does_r_or_spouse_or_partner_have_a_supervisor__0528d507f0,attr_life_context_and_constraints__does_r_or_spouse_or_partner_supervise_anyone__68edab9865,does r or spouse or partner have a supervisor,does r or spouse or partner supervise anyone,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9303,0.8315,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.826,related_but_distinct,keep_separate,none,0.9,Having a supervisor vs supervising someone are related but distinct constructs.,0.8798,openai,gpt-4.1-mini,0.522
pair_attr_worldview_beliefs_and_attitu_fu__attr_worldview_beliefs_and_attitu_fu__4d615ea344da,attr_worldview_beliefs_and_attitu__fund_lib_of_1st_friend__a649288a4d,attr_worldview_beliefs_and_attitu__fund_lib_of_4th_friend__f07c80d50d,fund.-lib. of 1st friend,fund.-lib. of 4th friend,"Worldview, Beliefs & Attitudes","Worldview, Beliefs & Attitudes",worldview beliefs and attitudes,worldview beliefs and attitudes,0.8915,0.9167,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8259,related_but_distinct,keep_separate,none,0.9,Attributes measure political views of different friends; related but distinct entities.,0.8809,openai,gpt-4.1-mini,0.522
pair_attr_behavioral_patterns_and_pref_li__attr_behavioral_patterns_and_pref_li__634f6c1f2e1d,attr_behavioral_patterns_and_pref__like_or_dislike_bluegrass_music__eefa957172,attr_behavioral_patterns_and_pref__like_or_dislike_blues_or_r_and_b_music__32841be42d,like or dislike bluegrass music,like or dislike blues or r and b music,Behavioral Patterns & Preferences,Behavioral Patterns & Preferences,behavioral patterns and preferences,behavioral patterns and preferences,0.8613,0.7826,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.75,0.8258,related_but_distinct,keep_separate,none,0.9,Preferences for different music genres; related but distinct constructs.,0.8517,openai,gpt-4.1-mini,0.522
pair_attr_social_identity_relationship_ne__attr_social_identity_relationship_ne__97747fe702f1,attr_social_identity_relationship__neighborhood_affected_by_air_pollution_over_the_last_1__9c8b41d86a,attr_social_identity_relationship__neighborhood_affected_by_water_pollution_over_the_last__371714f442,neighborhood affected by air pollution over the last 12 months,neighborhood affected by water pollution over the last 12 months,"Social Identity, Relationships & Community","Social Identity, Relationships & Community",social identity relationships and community,social identity relationships and community,0.8675,0.9683,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8256,related_but_distinct,keep_separate,none,0.9,Neighborhood affected by different pollution types; related but distinct.,0.8814,openai,gpt-4.1-mini,0.522
pair_attr_demographics_and_population_rel__attr_demographics_and_population_rel__a58b47e49193,attr_demographics_and_population__relationship_of_5th_person_to_household_head__fac021a73b,attr_demographics_and_population__relationship_of_person_1_to_head_of_household__0ee43f3a9b,relationship of 5th person to household head,relationship of person 1 to head of household,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8417,0.7865,0.7738,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.6667,0.8256,related_but_distinct,keep_separate,none,0.9,Relationship of different household members to head; related but distinct.,0.8529,openai,gpt-4.1-mini,0.522
pair_attr_demographics_and_population_r_r__attr_demographics_and_population_r_r__f5ea80be2f39,attr_demographics_and_population__r_relation_to_r_3rd_sibling__d6ff6f2dd3,attr_demographics_and_population__r_relation_to_r_5th_sibling__e8d3d6fdd0,r relation to r 3rd sibling,r relation to r 5th sibling,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.9034,0.8889,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8255,related_but_distinct,keep_separate,none,0.9,Relation to different siblings; related but distinct.,0.8803,openai,gpt-4.1-mini,0.522
pair_attr_demographics_and_population_1st__attr_demographics_and_population_3rd__5d767dd4ca64,attr_demographics_and_population__1st_mentioned_country_of_origin__9d48080da1,attr_demographics_and_population__3rd_mentioned_country_of_origin__4214bd78f6,1st mentioned country of origin,3rd mentioned country of origin,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8969,0.9032,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8255,related_but_distinct,keep_separate,none,0.9,Different mentioned countries of origin; related but distinct.,0.8805,openai,gpt-4.1-mini,0.522
pair_attr_worldview_beliefs_and_attitu_wh__attr_worldview_beliefs_and_attitu_wh__90896e2cd5f6,attr_worldview_beliefs_and_attitu__what_is_friend_1s_religious_preference__7e9398b6c7,attr_worldview_beliefs_and_attitu__what_is_friend_2s_religious_preference__409501c9ea,what is friend 1s religious preference,what is friend 2s religious preference,"Worldview, Beliefs & Attitudes","Worldview, Beliefs & Attitudes",religiosity and spiritual beliefs,religiosity and spiritual beliefs,0.8649,0.9737,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8255,related_but_distinct,keep_separate,none,0.9,Religious preference of different friends; related but distinct.,0.8815,openai,gpt-4.1-mini,0.522
pair_attr_demographics_and_population_rac__attr_demographics_and_population_rac__24738d118c7b,attr_demographics_and_population__race_of_aids_victim_2nd_closest_to_r__396fd7c769,attr_demographics_and_population__race_of_suicide_victim_2nd_closest_to_r__0289c41f97,race of aids victim 2nd closest to r,race of suicide victim 2nd closest to r,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8044,0.9067,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.6667,0.8255,related_but_distinct,keep_separate,none,0.85,Race of different victim types; related but distinct constructs.,0.8308,openai,gpt-4.1-mini,0.493
pair_attr_demographics_and_population_r_r__attr_demographics_and_population_r_r__d393ddc98991,attr_demographics_and_population__r_relation_to_r_2nd_sibling__b9e70186c9,attr_demographics_and_population__r_relation_to_r_4th_sibling__4833cd990d,r relation to r 2nd sibling,r relation to r 4th sibling,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.9032,0.8889,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8254,related_but_distinct,keep_separate,none,0.9,Relation to different siblings; related but distinct.,0.8802,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_re__attr_life_context_and_constraints_so__a23a2595e611,attr_life_context_and_constraints__retirement_income_past_12_months_use_adjinc_to_adjust__1fca0ceb6f,attr_life_context_and_constraints__social_security_income_past_12_months_use_adjinc_to_ad__7bbef6ef48,Retirement income past 12 months (use ADJINC to adjust to constant dollars),Social Security income past 12 months (use ADJINC to adjust SSP to constant dollars),Life Context & Constraints,Life Context & Constraints,poverty public assistance and retirement income,poverty public assistance and retirement income,0.8272,0.8553,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.8182,0.8252,related_but_distinct,keep_separate,none,0.85,Different income sources; related but distinct.,0.8299,openai,gpt-4.1-mini,0.493
pair_attr_worldview_beliefs_and_attitu_in__attr_worldview_beliefs_and_attitu_in__6c64369b5110,attr_worldview_beliefs_and_attitu__in_past_30_days_feel_hopeless__62198c787f,attr_worldview_beliefs_and_attitu__in_past_30_days_feel_worthless__a0710c065d,in past 30 days feel hopeless,in past 30 days feel worthless,"Worldview, Beliefs & Attitudes","Worldview, Beliefs & Attitudes",worldview beliefs and attitudes,worldview beliefs and attitudes,0.9061,0.8814,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8251,related_but_distinct,keep_separate,none,0.9,Feelings of hopelessness and worthlessness are related but distinct constructs.,0.88,openai,gpt-4.1-mini,0.522
pair_attr_demographics_and_population_r_r__attr_demographics_and_population_r_r__e4c6f86cac9d,attr_demographics_and_population__r_relation_to_r_2nd_sibling__b9e70186c9,attr_demographics_and_population__r_relation_to_r_5th_sibling__e8d3d6fdd0,r relation to r 2nd sibling,r relation to r 5th sibling,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.9026,0.8889,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8251,related_but_distinct,keep_separate,none,0.9,Relation to different siblings; related but distinct.,0.8801,openai,gpt-4.1-mini,0.522
pair_attr_worldview_beliefs_and_attitu_ho__attr_worldview_beliefs_and_attitu_ho__d222b1974644,attr_worldview_beliefs_and_attitu__how_much_congregation_help_out_with_ill__76d20a6b0b,attr_worldview_beliefs_and_attitu__how_much_congregation_help_out_with_prob__f26bbec754,how much congregation help out with ill,how much congregation help out with prob,"Worldview, Beliefs & Attitudes","Worldview, Beliefs & Attitudes",worldview beliefs and attitudes,worldview beliefs and attitudes,0.8924,0.9114,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8251,related_but_distinct,keep_separate,none,0.9,Help provided by congregation for different issues; related but distinct.,0.8804,openai,gpt-4.1-mini,0.522
pair_attr_worldview_beliefs_and_attitu_wh__attr_worldview_beliefs_and_attitu_wh__3c4d81e877ea,attr_worldview_beliefs_and_attitu__what_is_friend_2s_specific_denomination__85ae788302,attr_worldview_beliefs_and_attitu__what_is_friend_4s_specific_denomination__284251d296,what is friend 2s specific denomination,what is friend 4s specific denomination,"Worldview, Beliefs & Attitudes","Worldview, Beliefs & Attitudes",worldview beliefs and attitudes,worldview beliefs and attitudes,0.8638,0.9744,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8251,related_but_distinct,keep_separate,none,0.9,Specific denomination of different friends; related but distinct.,0.8812,openai,gpt-4.1-mini,0.522
pair_attr_demographics_and_population_doe__attr_demographics_and_population_doe__e192e07e0ff3,attr_demographics_and_population__does_r_know_blacks_from_community__f210ef383a,attr_demographics_and_population__does_r_know_blacks_from_school__5904331289,does r know blacks from community,does r know blacks from school,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.9314,0.8254,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.825,related_but_distinct,keep_separate,none,0.9,Knowing blacks from different contexts; related but distinct.,0.8792,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_r__attr_life_context_and_constraints_r__89a4e3d6032a,attr_life_context_and_constraints__r_belongs_to_more_than_one_school_service_groups__b1356968cb,attr_life_context_and_constraints__r_belongs_to_more_than_one_sports_groups__bca75bafac,r belongs to more than one school service groups,r belongs to more than one sports groups,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8333,0.8409,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.7143,0.825,related_but_distinct,keep_separate,none,0.85,Membership in different group types; related but distinct.,0.8296,openai,gpt-4.1-mini,0.493
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__c84ea9e21954,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_fraternity_group3__835bdf5f09,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_informal_group3__07029aedac,how many years r born a member of fraternity group3,how many years r born a member of informal group3,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8156,0.88,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.7143,0.825,related_but_distinct,keep_separate,none,0.85,Years in different group types; related but distinct.,0.8301,openai,gpt-4.1-mini,0.493
pair_attr_life_context_and_constraints_em__attr_life_context_and_constraints_lo__5b41b2f65c87,attr_life_context_and_constraints__employment_status_recode__6881260a69,attr_life_context_and_constraints__looking_for_work_unedited_see_employment_status_recode__40bf44978b,Employment status recode,Looking for work (UNEDITED - See 'Employment Status Recode' (ESR)),Life Context & Constraints,Life Context & Constraints,employment work hours occupation industry and income,commute and labor force access,0.761,1.0,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_broader_narrower,1.0,0.825,related_but_distinct,keep_separate,none,0.8,Employment status and looking for work are related but distinct constructs in different subcategories.,0.8092,openai,gpt-4.1-mini,0.464
pair_attr_worldview_beliefs_and_attitu_in__attr_worldview_beliefs_and_attitu_in__ddbe4e587e7a,attr_worldview_beliefs_and_attitu__in_last_month_listen_rap_music_on_web__54d8d42d5b,attr_worldview_beliefs_and_attitu__in_last_month_listen_rock_music_on_web__5bd54a53ff,in last month listen rap music on web,in last month listen rock music on web,"Worldview, Beliefs & Attitudes","Worldview, Beliefs & Attitudes",worldview beliefs and attitudes,worldview beliefs and attitudes,0.8818,0.9333,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8247,related_but_distinct,keep_separate,none,0.9,Listening to different music genres; related but distinct.,0.8805,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_do__attr_life_context_and_constraints_do__e0303e034233,attr_life_context_and_constraints__does_r_use_computer_at_work__017932fbda,attr_life_context_and_constraints__does_r_use_computer_not_at_home_or_work__5fcd122102,does r use computer at work,does r use computer not at home or work,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.929,0.8182,0.7257,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8244,related_but_distinct,keep_separate,none,0.9,Computer use at different locations; related but distinct.,0.879,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_tr__attr_life_context_and_constraints_tr__8d7136d75ad8,attr_life_context_and_constraints__treatment_for_downheartedness_improve_feelings__45dd3b6e51,attr_life_context_and_constraints__treatment_for_downheartedness_improve_quality_of_life__a012d3e1f0,treatment for downheartedness improve feelings,treatment for downheartedness improve quality of life,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9378,0.8081,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8242,related_but_distinct,keep_separate,none,0.9,Treatment effects on feelings vs quality of life; related but distinct.,0.8785,openai,gpt-4.1-mini,0.522
pair_attr_demographics_and_population_r_r__attr_demographics_and_population_r_r__e6ea2deef697,attr_demographics_and_population__r_relation_to_r_3rd_sibling__d6ff6f2dd3,attr_demographics_and_population__r_relation_to_r_6th_sibling__f707a56972,r relation to r 3rd sibling,r relation to r 6th sibling,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.9011,0.8889,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8242,related_but_distinct,keep_separate,none,0.9,Relation to different siblings; related but distinct.,0.8796,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_fa__attr_life_context_and_constraints_sp__11b6cd934b71,attr_life_context_and_constraints__father_s_occupational_prestige_score_1970__4f65483788,attr_life_context_and_constraints__spouse_s_occupational_prestige_score_1970__738caadc9c,father's occupational prestige score (1970),spouse's occupational prestige score (1970),Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8124,0.8837,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.6667,0.8242,related_but_distinct,keep_separate,none,0.85,Occupational prestige scores of different family members; related but distinct.,0.8297,openai,gpt-4.1-mini,0.493
pair_attr_demographics_and_population_r_2__attr_demographics_and_population_r_3__bd08f3bb3271,attr_demographics_and_population__r_2nd_sibling_alive__3cade59667,attr_demographics_and_population__r_3rd_sibling_alive__8e800b3c10,r 2nd sibling alive?,r 3rd sibling alive?,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8953,0.9,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8238,related_but_distinct,keep_separate,none,0.9,Alive status of different siblings; related but distinct.,0.8795,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_r__ed4970e1e7c5,attr_life_context_and_constraints__how_many_r_belongs_to_school_service_groups__9d0614ffcc,attr_life_context_and_constraints__r_belongs_to_more_than_one_school_service_groups__b1356968cb,how many r belongs to school service groups,r belongs to more than one school service groups,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8738,0.7473,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.6667,0.8238,broader_than,keep_separate,A_to_B,0.85,Number of groups (count) is broader than membership in more than one group (binary).,0.8277,openai,gpt-4.1-mini,0.663
pair_attr_worldview_beliefs_and_attitu_wh__attr_worldview_beliefs_and_attitu_wh__64e8504aca47,attr_worldview_beliefs_and_attitu__what_was_r_s_first_religious_preference__091b27cbd5,attr_worldview_beliefs_and_attitu__what_was_r_s_third_religious_preference__d3ab9f34ba,what was r's first religious preference,what was r's third religious preference,"Worldview, Beliefs & Attitudes","Worldview, Beliefs & Attitudes",religiosity and spiritual beliefs,religiosity and spiritual beliefs,0.8843,0.9231,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8236,related_but_distinct,keep_separate,none,0.9,Different religious preferences by order; related but distinct.,0.8797,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_do__attr_life_context_and_constraints_do__593d71cf4586,attr_life_context_and_constraints__does_partner_supervise_anyone__f1accfa52c,attr_life_context_and_constraints__does_r_or_spouse_or_partner_supervise_anyone__68edab9865,does partner supervise anyone,does r or spouse or partner supervise anyone,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.852,0.7945,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.75,0.8236,broader_than,keep_separate,B_to_A,0.85,Supervision by partner only is narrower than supervision by r or spouse or partner.,0.8282,openai,gpt-4.1-mini,0.663
pair_attr_demographics_and_population_sex__attr_demographics_and_population_sex__7933adf89ccb,attr_demographics_and_population__sex_of_r_1st_child__c0f42a301d,attr_demographics_and_population__sex_of_r_2nd_child__c424df7951,sex of r 1st child,sex of r 2nd child,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.9249,0.8333,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8234,related_but_distinct,keep_separate,none,0.9,Sex of different children; related but distinct.,0.8784,openai,gpt-4.1-mini,0.522
pair_attr_demographics_and_population_r_f__attr_demographics_and_population_r_f__4177b608add6,attr_demographics_and_population__r_feels_discriminated_because_of_gender__3793e4b4c0,attr_demographics_and_population__r_feels_discriminated_because_of_race__eb38f8c0c1,r feels discriminated because of gender,r feels discriminated because of race,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8969,0.8947,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8234,related_but_distinct,keep_separate,none,0.9,Discrimination due to different causes; related but distinct.,0.8792,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_on__attr_life_context_and_constraints_te__b7d51f156da9,attr_life_context_and_constraints__on_layoff_from_work_unedited_see_employment_status_rec__e0dc148747,attr_life_context_and_constraints__temporary_absence_from_work_unedited_see_employment_st__fd695dbc13,On layoff from work (UNEDITED - See 'Employment Status Recode' (ESR)),Temporary absence from work (UNEDITED - See 'Employment Status Recode' (ESR)),Life Context & Constraints,Life Context & Constraints,commute and labor force access,commute and labor force access,0.8267,0.8493,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.7778,0.8234,related_but_distinct,keep_separate,none,0.85,Different types of work absence; related but distinct.,0.8288,openai,gpt-4.1-mini,0.493
pair_attr_demographics_and_population_how__attr_demographics_and_population_how__fbae0c8d4f50,attr_demographics_and_population__how_well_democracy_work_in_america__1fe2dbb69a,attr_demographics_and_population__how_well_did_democracy_work_in_america_ten_yrs_ago__723ca8b17e,how well democracy work in america,how well did democracy work in america ten yrs ago,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8446,0.8095,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.8,0.8233,related_but_distinct,keep_separate,none,0.85,Democratic effectiveness now vs 10 years ago; related but distinct.,0.8282,openai,gpt-4.1-mini,0.493
pair_attr_worldview_beliefs_and_attitu_wh__attr_worldview_beliefs_and_attitu_wh__466d0b15acc4,attr_worldview_beliefs_and_attitu__what_is_friend_3s_specific_denomination__655a94dfee,attr_worldview_beliefs_and_attitu__what_is_friend_4s_specific_denomination__284251d296,what is friend 3s specific denomination,what is friend 4s specific denomination,"Worldview, Beliefs & Attitudes","Worldview, Beliefs & Attitudes",worldview beliefs and attitudes,worldview beliefs and attitudes,0.8603,0.9744,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8232,related_but_distinct,keep_separate,none,0.9,Specific denomination of different friends; related but distinct.,0.8802,openai,gpt-4.1-mini,0.522
pair_attr_worldview_beliefs_and_attitu_1s__attr_worldview_beliefs_and_attitu_2n__c3a994d29411,attr_worldview_beliefs_and_attitu__1st_argument_against_abortion__9b36b4ceb0,attr_worldview_beliefs_and_attitu__2nd_argument_against_abortion__faaf476718,1st argument against abortion,2nd argument against abortion,"Worldview, Beliefs & Attitudes","Worldview, Beliefs & Attitudes",worldview beliefs and attitudes,worldview beliefs and attitudes,0.8956,0.8966,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8231,related_but_distinct,keep_separate,none,0.9,Arguments against abortion numbered first and second; related but distinct.,0.8791,openai,gpt-4.1-mini,0.522
pair_attr_social_identity_relationship_pe__attr_social_identity_relationship_pe__289658ed7bb6,attr_social_identity_relationship__percent_of_family_during_childhood_who_were_asian__b92b5c7022,attr_social_identity_relationship__percent_of_family_during_childhood_who_were_white__c9d268efac,percent of family during childhood who were asian,percent of family during childhood who were white,"Social Identity, Relationships & Community","Social Identity, Relationships & Community",social identity relationships and community,social identity relationships and community,0.8853,0.9184,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8229,related_but_distinct,keep_separate,none,0.9,Percent family of different races during childhood; related but distinct.,0.8793,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_be__attr_life_context_and_constraints_be__bce30f0b4737,attr_life_context_and_constraints__before_got_the_job_took_a_drug_and_alcohol_test__2d2c87324d,attr_life_context_and_constraints__before_got_the_job_took_a_skill_test__94c244506a,before got the job took a drug and alcohol test,before got the job took a skill test,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8504,0.7952,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.7143,0.8229,related_but_distinct,keep_separate,none,0.85,Different pre-job tests; related but distinct.,0.8278,openai,gpt-4.1-mini,0.493
pair_attr_domain_specific_overlays_anti_w__attr_domain_specific_overlays_pro_wa__5c91e1239f79,attr_domain_specific_overlays__anti_war_demonstration__a479a31a1f,attr_domain_specific_overlays__pro_war_demonstration__7d7085ddb7,anti-war demonstration,pro-war demonstration,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.9218,0.8372,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8227,inverse_pole,keep_separate,none,0.95,Anti-war and pro-war demonstrations are conceptual opposites.,0.9006,openai,gpt-4.1-mini,0.817
pair_attr_demographics_and_population_wha__attr_demographics_and_population_wha__327c10e78c1e,attr_demographics_and_population__what_is_r_s_race_first_mention__f3d7185024,attr_demographics_and_population__what_is_r_s_race_second_mention__705c4412e1,"what is r's race, first mention","what is r's race, second mention",Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.9127,0.8571,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8227,related_but_distinct,keep_separate,none,0.9,Race mentions first and second; related but distinct.,0.8783,openai,gpt-4.1-mini,0.522
pair_attr_worldview_beliefs_and_attitu_ho__attr_worldview_beliefs_and_attitu_ho__0e84a78b834c,attr_worldview_beliefs_and_attitu__how_often_ma_attended_religious_services__7b4f822774,attr_worldview_beliefs_and_attitu__how_often_pa_attended_religious_services__d25bcce8c6,how often ma attended religious services,how often pa attended religious services,"Worldview, Beliefs & Attitudes","Worldview, Beliefs & Attitudes",religiosity and spiritual beliefs,religiosity and spiritual beliefs,0.8591,0.975,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8227,related_but_distinct,keep_separate,none,0.9,Religious service attendance of different parents; related but distinct.,0.8799,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_do__attr_life_context_and_constraints_im__a2f117b1f6f2,attr_life_context_and_constraints__do_you_have_personal_contact_at_work__fd6dd2aea4,attr_life_context_and_constraints__importance_of_personal_contact_at_work__ddcc9f6aea,do you have personal contact at work,importance of personal contact at work,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8672,0.7568,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.75,0.8226,related_but_distinct,keep_separate,none,0.85,Having personal contact vs importance of personal contact at work; related but distinct.,0.8271,openai,gpt-4.1-mini,0.493
pair_attr_life_context_and_constraints_he__attr_life_context_and_constraints_he__6283b07127e8,attr_life_context_and_constraints__heard_job_from_friends__09f3df9a7a,attr_life_context_and_constraints__heard_job_from_relatives__933126e327,heard job from friends,heard job from relatives,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9462,0.7826,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8225,related_but_distinct,keep_separate,none,0.9,Heard job from friends vs relatives; related but distinct.,0.8772,openai,gpt-4.1-mini,0.522
pair_attr_demographics_and_population_r_r__attr_demographics_and_population_r_r__37493ab1184e,attr_demographics_and_population__r_relation_to_r_2nd_sibling__b9e70186c9,attr_demographics_and_population__r_relation_to_r_6th_sibling__f707a56972,r relation to r 2nd sibling,r relation to r 6th sibling,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.898,0.8889,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8225,related_but_distinct,keep_separate,none,0.9,Relation to different siblings; related but distinct.,0.8787,openai,gpt-4.1-mini,0.522
pair_attr_worldview_beliefs_and_attitu_wh__attr_worldview_beliefs_and_attitu_wh__36b71cb5cc71,attr_worldview_beliefs_and_attitu__what_is_friend_4s_religious_preference__59d4850dc2,attr_worldview_beliefs_and_attitu__what_is_friend_5s_religious_preference__4db0231e1e,what is friend 4s religious preference,what is friend 5s religious preference,"Worldview, Beliefs & Attitudes","Worldview, Beliefs & Attitudes",religiosity and spiritual beliefs,religiosity and spiritual beliefs,0.8593,0.9737,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8225,related_but_distinct,keep_separate,none,0.9,Religious preference of different friends; related but distinct.,0.8798,openai,gpt-4.1-mini,0.522
