source_final_attribute_id,target_final_attribute_id,source_label,target_label,relation_type,edge_weight,max_llm_confidence,supporting_pair_count,supporting_pair_ids_json
attr_life_context_and_constraints__before_got_the_job_took_a_physical_test__cb93e87620,attr_life_context_and_constraints__before_got_the_job_took_a_skill_test__94c244506a,before got the job took a physical test,before got the job took a skill test,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_be__attr_life_context_and_constraints_be__d8f5c2583395""]"
attr_demographics_and_population__race_of_aids_victim_2nd_closest_to_r__396fd7c769,attr_demographics_and_population__sex_of_aids_victim_2nd_closest_to_r__ca16d15e8e,race of aids victim 2nd closest to r,sex of aids victim 2nd closest to r,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_rac__attr_demographics_and_population_sex__88fb4357655d""]"
attr_life_context_and_constraints__first_mention_of_problem__89d5695a5e,attr_life_context_and_constraints__first_mention_to_help_problem__ec4e827a12,first mention of problem,first mention to help problem,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_fi__attr_life_context_and_constraints_fi__49728950a22e""]"
attr_demographics_and_population__age_of_aids_victim_closest_to_r__27b68c93d5,attr_demographics_and_population__sex_of_aids_victim_closest_to_r__d9cf438094,age of aids victim closest to r,sex of aids victim closest to r,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_age__attr_demographics_and_population_sex__8dd8d57a63bf""]"
attr_cognitive_and_capability_pro__no_internet_use_over_past_12_months_due_to_lack_of_tim__28e3a0ab69,attr_cognitive_and_capability_pro__no_internet_use_over_past_12_months_due_to_unavaliblit__2aba1d834a,no internet use over past 12 months due to lack of time,no internet use over past 12 months due to unavaliblity,related_but_distinct,0.522,0.9,1,"[""pair_attr_cognitive_and_capability_pro_no__attr_cognitive_and_capability_pro_no__830eb38d5fe8""]"
attr_personality_traits__am_easily_frustrated__c893a74186,attr_personality_traits__am_not_easily_frustrated__1d1332d3f5,Am easily frustrated.,Am not easily frustrated.,inverse_pole,0.817,0.95,1,"[""pair_attr_personality_traits_am_easily_fr__attr_personality_traits_am_not_easil__bca062092918""]"
attr_demographics_and_population__spouse_s_father_s_ind_when_spouse_was_16_2010__56f4a4a84a,merged_attr_c78f954b4b04,spouse's father's ind when spouse was 16 (2010),spouse's father's occ when spouse was 16 (2010),related_but_distinct,0.522,0.9,2,"[""pair_attr_demographics_and_population_spo__attr_demographics_and_population_spo__881ff0a1f7d9"", ""pair_attr_demographics_and_population_spo__attr_demographics_and_population_spo__70517ba1f127""]"
attr_cognitive_and_capability_pro__no_internet_use_over_past_12_months_due_to_lack_of_des__24c5e4526c,attr_cognitive_and_capability_pro__no_internet_use_over_past_12_months_due_to_other_reaso__79252a9927,no internet use over past 12 months due to lack of desire,no internet use over past 12 months due to other reasons,related_but_distinct,0.522,0.9,1,"[""pair_attr_cognitive_and_capability_pro_no__attr_cognitive_and_capability_pro_no__d044a13421ed""]"
attr_life_context_and_constraints__how_long_r_wait_treatment_health_interfere__87850e8938,attr_life_context_and_constraints__how_long_r_wait_treatment_pain_interfere_wi__68dc753758,how long r wait treatment health interfere,how long r wait treatment pain interfere wi,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__2d6774b07e22""]"
attr_life_context_and_constraints__minutes_per_week_using_work_computer_email__36f2446b95,attr_life_context_and_constraints__minutes_per_week_using_work_computer_hsehld_mng__073cb1ce72,minutes per week using work computer email,minutes per week using work computer hsehld mng,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_mi__attr_life_context_and_constraints_mi__cac937917cc2""]"
attr_life_context_and_constraints__importance_of_different_employer_training_for_job__d01f4fb50e,attr_life_context_and_constraints__importance_of_on_the_job_training_for_you_job__8943a7c413,importance of different employer training for job,importance of on-the-job training for you job,related_but_distinct,0.493,0.85,1,"[""pair_attr_life_context_and_constraints_im__attr_life_context_and_constraints_im__d5da6b8c0e19""]"
attr_demographics_and_population__age_of_aids_victim_closest_to_r__27b68c93d5,attr_demographics_and_population__race_of_aids_victim_closest_to_r__dc04551e7a,age of aids victim closest to r,race of aids victim closest to r,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_age__attr_demographics_and_population_rac__e3f7e489eccf""]"
attr_life_context_and_constraints__1st_mention_what_mental_illness_is_symptoms__a4dcd0e060,attr_life_context_and_constraints__2nd_mention_what_mental_illness_is_symptoms__656bde942e,"1st mention, what mental illness is, symptoms","2nd mention, what mental illness is, symptoms",related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_1s__attr_life_context_and_constraints_2n__77cc37687ba7""]"
attr_cognitive_and_capability_pro__no_internet_use_over_past_12_months_due_to_literacy__9bc2aaa9dc,attr_cognitive_and_capability_pro__no_internet_use_over_past_12_months_due_to_other_reaso__79252a9927,no internet use over past 12 months due to literacy,no internet use over past 12 months due to other reasons,related_but_distinct,0.522,0.9,1,"[""pair_attr_cognitive_and_capability_pro_no__attr_cognitive_and_capability_pro_no__68613546d4c2""]"
attr_life_context_and_constraints__minutes_per_week_using_work_computer_hsehld_mng__073cb1ce72,attr_life_context_and_constraints__minutes_per_week_using_work_computer_www__dfe203d729,minutes per week using work computer hsehld mng,minutes per week using work computer www,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_mi__attr_life_context_and_constraints_mi__aebe4774460e""]"
attr_life_context_and_constraints__1st_mention_what_nervous_breakdown_is_symptoms__cb5e00dde2,attr_life_context_and_constraints__3rd_mention_what_nervous_breakdown_is_symptoms__cdff0fb9fa,"1st mention, what nervous breakdown is, symptoms","3rd mention, what nervous breakdown is, symptoms",related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_1s__attr_life_context_and_constraints_3r__dd1b6a78b679""]"
attr_cognitive_and_capability_pro__no_internet_use_over_past_12_months_due_to_other_reaso__79252a9927,attr_cognitive_and_capability_pro__no_internet_use_over_past_12_months_due_to_unavaliblit__2aba1d834a,no internet use over past 12 months due to other reasons,no internet use over past 12 months due to unavaliblity,related_but_distinct,0.522,0.9,1,"[""pair_attr_cognitive_and_capability_pro_no__attr_cognitive_and_capability_pro_no__ef862f8429f2""]"
attr_life_context_and_constraints__3rd_mention_what_mental_illness_is_imputed__2150b91918,attr_life_context_and_constraints__3rd_mention_what_mental_illness_is_symptoms__22b418976a,"3rd mention, what mental illness is, imputed","3rd mention, what mental illness is, symptoms",related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_3r__attr_life_context_and_constraints_3r__c3419e553275""]"
attr_life_context_and_constraints__how_often_r_contacts_their_most_contacted_close_friend__38834ac1ff,attr_life_context_and_constraints__how_often_r_contacts_their_most_contacted_parent__b69663ad07,how often r contacts their most-contacted close friend,how often r contacts their most-contacted parent,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__c92ee57daa28""]"
attr_domain_specific_overlays__did_r_vote_in_2004_election__60193058a1,attr_domain_specific_overlays__did_r_vote_in_2012_election__422a5fde5f,did r vote in 2004 election,did r vote in 2012 election,related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_did_r__attr_domain_specific_overlays_did_r__968f31d7680a""]"
attr_life_context_and_constraints__r_belongs_to_more_than_one_other_groups__4a1020df7c,attr_life_context_and_constraints__r_belongs_to_more_than_one_sports_groups__bca75bafac,r belongs to more than one other groups,r belongs to more than one sports groups,related_but_distinct,0.493,0.85,1,"[""pair_attr_life_context_and_constraints_r__attr_life_context_and_constraints_r__611d755e8546""]"
attr_demographics_and_population__race_of_aids_victim_closest_to_r__dc04551e7a,attr_demographics_and_population__sex_of_aids_victim_closest_to_r__d9cf438094,race of aids victim closest to r,sex of aids victim closest to r,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_rac__attr_demographics_and_population_sex__19309f7d32b9""]"
attr_life_context_and_constraints__minutes_per_week_using_work_computer_hsehld_mng__073cb1ce72,attr_life_context_and_constraints__minutes_per_week_using_work_computer_job__96b8633900,minutes per week using work computer hsehld mng,minutes per week using work computer job,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_mi__attr_life_context_and_constraints_mi__d79a803565e0""]"
attr_cognitive_and_capability_pro__no_internet_use_over_past_12_months_due_to_lack_of_des__24c5e4526c,attr_cognitive_and_capability_pro__no_internet_use_over_past_12_months_due_to_usability__5d90d3a94f,no internet use over past 12 months due to lack of desire,no internet use over past 12 months due to usability,related_but_distinct,0.522,0.9,1,"[""pair_attr_cognitive_and_capability_pro_no__attr_cognitive_and_capability_pro_no__594f85b3972a""]"
attr_domain_specific_overlays__did_r_vote_in_1968_election__e6aa9622f5,attr_domain_specific_overlays__did_r_vote_in_1980_election__d58e382e22,did r vote in 1968 election,did r vote in 1980 election,related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_did_r__attr_domain_specific_overlays_did_r__48c9983e788c""]"
attr_demographics_and_population__mother_vs_father_care_for_child__c440ed24ca,attr_demographics_and_population__mother_vs_father_daily_child_care__4501648ac4,mother vs father care for child,mother vs father daily child care,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_mot__attr_demographics_and_population_mot__8e2507d2800e""]"
attr_life_context_and_constraints__how_likely_x_s_situation_caused_by_god_s_will__aaa5f939a5,attr_life_context_and_constraints__x_s_situation_caused_by_god_s_will__aee1cd86ab,how likely x s situation caused by god s will,x s situation caused by: god s will,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_x__dd48697121ce""]"
attr_personality_traits__tend_to_vote_for_conservative_political_candidates__fbe1bb5bb4,attr_personality_traits__tend_to_vote_for_liberal_political_candidates__bbd37c3e38,Tend to vote for conservative political candidates.,Tend to vote for liberal political candidates.,inverse_pole,0.817,0.95,1,"[""pair_attr_personality_traits_tend_to_vote__attr_personality_traits_tend_to_vote__04308a12b423""]"
attr_cognitive_and_capability_pro__no_internet_use_over_past_12_months_due_to_cost__2befe81d40,attr_cognitive_and_capability_pro__no_internet_use_over_past_12_months_due_to_literacy__9bc2aaa9dc,no internet use over past 12 months due to cost,no internet use over past 12 months due to literacy,related_but_distinct,0.522,0.9,1,"[""pair_attr_cognitive_and_capability_pro_no__attr_cognitive_and_capability_pro_no__37b1c424ea5c""]"
attr_personality_traits__keep_my_feelings_to_myself_regardless_of_how_scared_i__c1a01582ee,attr_personality_traits__keep_my_feelings_to_myself_regardless_of_how_unhappy_i__ffdd5acd25,"Keep my feelings to myself, regardless of how scared I am.","Keep my feelings to myself, regardless of how unhappy I am.",related_but_distinct,0.522,0.9,1,"[""pair_attr_personality_traits_keep_my_feel__attr_personality_traits_keep_my_feel__063a32d0517e""]"
attr_personality_traits__will_do_almost_anything_to_avoid_being_alone__f3bb9fae6c,attr_personality_traits__will_do_almost_anything_to_avoid_being_rejected__2eda1181fb,Will do almost anything to avoid being alone.,Will do almost anything to avoid being rejected.,related_but_distinct,0.522,0.9,1,"[""pair_attr_personality_traits_will_do_almo__attr_personality_traits_will_do_almo__78e4e13a7d45""]"
attr_life_context_and_constraints__2nd_mention_what_mental_illness_is_imputed__896dee17d4,attr_life_context_and_constraints__2nd_mention_what_mental_illness_is_symptoms__656bde942e,"2nd mention, what mental illness is, imputed","2nd mention, what mental illness is, symptoms",related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_2n__attr_life_context_and_constraints_2n__a1782a5d9f42""]"
attr_domain_specific_overlays__did_r_vote_in_1976_election__9b4e9260b0,attr_domain_specific_overlays__did_r_vote_in_1996_election__64c2a8a3e7,did r vote in 1976 election,did r vote in 1996 election,related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_did_r__attr_domain_specific_overlays_did_r__cfec42ceec62""]"
attr_domain_specific_overlays__did_r_vote_in_2000_election__62e260f2d8,attr_domain_specific_overlays__did_r_vote_in_2012_election__422a5fde5f,did r vote in 2000 election,did r vote in 2012 election,related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_did_r__attr_domain_specific_overlays_did_r__a3013e604af7""]"
attr_life_context_and_constraints__desirability_of_no_kid_family__3ec08a61ee,attr_life_context_and_constraints__desirability_of_two_kid_family__63f1809904,desirability of no-kid family,desirability of two-kid family,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_de__attr_life_context_and_constraints_de__d33d4e4b410a""]"
attr_cognitive_and_capability_pro__no_internet_use_over_past_12_months_due_to_literacy__9bc2aaa9dc,attr_cognitive_and_capability_pro__no_internet_use_over_past_12_months_due_to_unavaliblit__2aba1d834a,no internet use over past 12 months due to literacy,no internet use over past 12 months due to unavaliblity,related_but_distinct,0.522,0.9,1,"[""pair_attr_cognitive_and_capability_pro_no__attr_cognitive_and_capability_pro_no__344c0218c7f6""]"
attr_domain_specific_overlays__how_much_time_felt_depressed_in_past_wk__b208439d8c,attr_domain_specific_overlays__how_much_time_felt_sad_in_past_wk__160b26cc1a,how much time felt depressed in past wk,how much time felt sad in past wk,related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_how_mu__attr_domain_specific_overlays_how_mu__ba064ddbac34""]"
attr_life_context_and_constraints__how_likely_x_s_situation_caused_by_bad_character__2dda58194b,attr_life_context_and_constraints__x_s_situation_caused_by_bad_character__f4b57ece19,how likely x s situation caused by bad character,x s situation caused by: bad character,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_x__744f67b9c710""]"
attr_cognitive_and_capability_pro__skill_editing__ef68d307f7,attr_cognitive_and_capability_pro__skill_video_editing__ecc432d14a,Skill: Editing,Skill: Video editing,broader_than,0.702,0.9,1,"[""pair_attr_cognitive_and_capability_pro_sk__attr_cognitive_and_capability_pro_sk__67f419c62c63""]"
attr_demographics_and_population__age_of_murder_victim_3rd_closest_to_r__6e8db2ce95,attr_demographics_and_population__sex_of_murder_victim_3rd_closest_to_r__00e013c24c,age of murder victim 3rd closest to r,sex of murder victim 3rd closest to r,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_age__attr_demographics_and_population_sex__78876cf476c3""]"
attr_domain_specific_overlays__number_of_mother_deaths__ca9a0bc669,attr_domain_specific_overlays__number_of_other_deaths__6b5d542afd,number of mother deaths,number of other deaths,related_but_distinct,0.493,0.85,1,"[""pair_attr_domain_specific_overlays_number__attr_domain_specific_overlays_number__267182b50fbf""]"
attr_life_context_and_constraints__how_often_r_contacts_their_most_contacted_adult_child__fcc2202b2a,attr_life_context_and_constraints__how_often_r_contacts_their_most_contacted_sibling__fa29842661,how often r contacts their most-contacted adult child,how often r contacts their most-contacted sibling,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__ee7372e1c0d7""]"
attr_life_context_and_constraints__1st_mention_what_mental_illness_is_asserted__50cc1b3a0f,attr_life_context_and_constraints__1st_mention_what_mental_illness_is_symptoms__a4dcd0e060,"1st mention, what mental illness is, asserted","1st mention, what mental illness is, symptoms",related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_1s__attr_life_context_and_constraints_1s__1dcb5c61e6a2""]"
attr_life_context_and_constraints__how_often_r_contacts_their_most_contacted_close_friend__38834ac1ff,attr_life_context_and_constraints__how_often_r_contacts_their_most_contacted_sibling__fa29842661,how often r contacts their most-contacted close friend,how often r contacts their most-contacted sibling,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__ee8f63c79d55""]"
attr_demographics_and_population__age_of_murder_victim_2nd_closest_to_r__9a62909c48,attr_demographics_and_population__sex_of_murder_victim_2nd_closest_to_r__a72ecf19ed,age of murder victim 2nd closest to r,sex of murder victim 2nd closest to r,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_age__attr_demographics_and_population_sex__b79a9fcfb562""]"
attr_life_context_and_constraints__how_many_years_r_born_a_member_of_informal_group5__e221d118be,merged_attr_95a0836dfed7,how many years r born a member of informal group5,how many years r born a member of other group1,related_but_distinct,0.522,0.9,5,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__5280691718f2"", ""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__c60f1c0bf76c"", ""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__82754d13df37"", ""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__e01a4a15fd9f"", ""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__b3eac8c71785""]"
attr_domain_specific_overlays__number_of_strong_conservative_r_is_acquainted_with__bbceb0ff43,attr_domain_specific_overlays__number_of_strong_liberal_r_is_acquainted_with__bd556f7c2d,number of strong conservative r is acquainted with,number of strong liberal r is acquainted with,related_but_distinct,0.493,0.85,1,"[""pair_attr_domain_specific_overlays_number__attr_domain_specific_overlays_number__33d48c5f17aa""]"
attr_domain_specific_overlays__who_would_r_have_voted_for_1968_election__9911511ae4,attr_domain_specific_overlays__who_would_r_have_voted_for_1996_election__4b9b468b95,who would r have voted for-1968 election,who would r have voted for-1996 election,related_but_distinct,0.493,0.85,1,"[""pair_attr_domain_specific_overlays_who_wo__attr_domain_specific_overlays_who_wo__a5952475bfc2""]"
attr_demographics_and_population__observed_race__f449269cf3,merged_attr_adbb5b304cf8,observed race,race of person number 1,related_but_distinct,0.493,0.85,1,"[""pair_attr_demographics_and_population_obs__attr_demographics_and_population_rac__9d76abb1f858""]"
attr_life_context_and_constraints__1st_mention_what_nervous_breakdown_is_imputed__fa677ed656,attr_life_context_and_constraints__1st_mention_what_nervous_breakdown_is_symptoms__cb5e00dde2,"1st mention, what nervous breakdown is, imputed","1st mention, what nervous breakdown is, symptoms",related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_1s__attr_life_context_and_constraints_1s__7fa8e20dccd1""]"
attr_life_context_and_constraints__how_many_years_r_born_a_member_of_national_group1__4aef6e4d2c,merged_attr_95a0836dfed7,how many years r born a member of national group1,how many years r born a member of other group1,related_but_distinct,0.522,0.9,5,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__328e9c677700"", ""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__742c7d706c53"", ""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__eb7266c3ceea"", ""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__ecc8a77bf532"", ""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__1a8456cf7e78""]"
attr_demographics_and_population__single_ma_can_raise_kids_well_as_couple__fbc4123619,attr_demographics_and_population__single_pa_can_raise_kids_well_as_couple__7e63662154,single ma can raise kids well as couple,single pa can raise kids well as couple,related_but_distinct,0.493,0.85,1,"[""pair_attr_demographics_and_population_sin__attr_demographics_and_population_sin__b72141def56d""]"
attr_cognitive_and_capability_pro__no_internet_use_over_past_12_months_due_to_lack_of_tim__28e3a0ab69,attr_cognitive_and_capability_pro__no_internet_use_over_past_12_months_due_to_literacy__9bc2aaa9dc,no internet use over past 12 months due to lack of time,no internet use over past 12 months due to literacy,related_but_distinct,0.522,0.9,1,"[""pair_attr_cognitive_and_capability_pro_no__attr_cognitive_and_capability_pro_no__9afa486c8888""]"
attr_personality_traits__agreeableness__a117243d79,attr_personality_traits__trust__13e83c1f79,Agreeableness,Trust,broader_than,0.702,0.9,1,"[""pair_attr_personality_traits_agreeablenes__attr_personality_traits_trust_13e83c__efb602cad0bd""]"
attr_life_context_and_constraints__minutes_per_week_using_work_computer_make_money__63a2d24380,attr_life_context_and_constraints__minutes_per_week_using_work_computer_personal_i__273fe29495,minutes per week using work computer make money,minutes per week using work computer personal i,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_mi__attr_life_context_and_constraints_mi__b586f5437e84""]"
attr_life_context_and_constraints__contributed_money_in_work_related_org__003c2f3391,attr_life_context_and_constraints__how_much_money_contributed_in_work_related_org__59f296d450,contributed money in work-related org,how much money contributed in work-related org,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_co__attr_life_context_and_constraints_ho__6b8f81f66077""]"
merged_attr_319934576c1d,attr_life_context_and_constraints__r_belongs_to_more_than_one_other_groups__4a1020df7c,r belongs to more than one fraternal groups,r belongs to more than one other groups,related_but_distinct,0.493,0.85,2,"[""pair_attr_life_context_and_constraints_r__attr_life_context_and_constraints_r__b96391e20526"", ""pair_attr_life_context_and_constraints_r__attr_life_context_and_constraints_r__f327f9d21c55""]"
attr_life_context_and_constraints__family_income_past_12_months_use_adjinc_to_adjust_finc__1fe1851fa4,attr_life_context_and_constraints__household_income_past_12_months_use_adjinc_to_adjust_h__f966b6bd3a,"Family income (past 12 months, use ADJINC to adjust FINCP to constant dollars)","Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",related_but_distinct,0.493,0.85,1,"[""pair_attr_life_context_and_constraints_fa__attr_life_context_and_constraints_ho__b793c9505c1e""]"
attr_life_context_and_constraints__imputed_poverty_line_for_family_of_four__4158c5c778,attr_life_context_and_constraints__imputed_poverty_line_for_family_of_three__67800f1500,imputed poverty line for family of four,imputed poverty line for family of three,related_but_distinct,0.551,0.95,1,"[""pair_attr_life_context_and_constraints_im__attr_life_context_and_constraints_im__65d6cda9c821""]"
attr_demographics_and_population__relationship_of_2nd_person_to_household_head__a19d9032b0,attr_demographics_and_population__relationship_of_8th_person_to_household_head__411bd8eda0,relationship of 2nd person to household head,relationship of 8th person to household head,related_but_distinct,0.551,0.95,1,"[""pair_attr_demographics_and_population_rel__attr_demographics_and_population_rel__d63e5bd7e006""]"
attr_domain_specific_overlays__who_would_r_have_voted_for_1968_election__9911511ae4,attr_domain_specific_overlays__who_would_r_have_voted_for_1984_election__b11000b2ea,who would r have voted for-1968 election,who would r have voted for-1984 election,related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_who_wo__attr_domain_specific_overlays_who_wo__8027746c58c9""]"
attr_worldview_beliefs_and_attitu__how_many_years_r_born_a_member_of_church_group3__5e8b6fd264,attr_worldview_beliefs_and_attitu__how_many_years_r_born_a_member_of_church_group6__8e0465f85c,how many years r born a member of church group3,how many years r born a member of church group6,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_ho__attr_worldview_beliefs_and_attitu_ho__b6f3dc81ab3e""]"
attr_demographics_and_population__sex_of_r_5th_sibling__6d9909026b,attr_demographics_and_population__sex_of_r_8th_sibling__74b5fce390,sex of r 5th sibling,sex of r 8th sibling,related_but_distinct,0.551,0.95,1,"[""pair_attr_demographics_and_population_sex__attr_demographics_and_population_sex__1a0e743303a9""]"
attr_demographics_and_population__birth_year_of_r_4th_sibling__1385863666,merged_attr_d53f6a1804f1,birth year of r 4th sibling,birth year of r 2nd sibling,related_but_distinct,0.522,0.9,3,"[""pair_attr_demographics_and_population_bir__attr_demographics_and_population_bir__3ad1f328144b"", ""pair_attr_demographics_and_population_bir__attr_demographics_and_population_bir__ba2a0f6f9064"", ""pair_attr_demographics_and_population_bir__attr_demographics_and_population_bir__8a228173e37d""]"
attr_worldview_beliefs_and_attitu__protestant_identification_2nd_mention__2a04f785b6,attr_worldview_beliefs_and_attitu__protestant_identification_3rd_mention__ebab6eb58d,protestant identification 2nd mention,protestant identification 3rd mention,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_pr__attr_worldview_beliefs_and_attitu_pr__7251da24d2bd""]"
attr_worldview_beliefs_and_attitu__men_only_women_should_be_able_to_have_legal_abortions__89beb70da9,attr_worldview_beliefs_and_attitu__women_only_women_should_be_able_to_have_legal_abortion__5cf317641e,men only: women should be able to have legal abortions,women only: women should be able to have legal abortions,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_me__attr_worldview_beliefs_and_attitu_wo__59d7e16537c1""]"
attr_demographics_and_population__age_of_fifth_person_in_household_screening_if_applicab__404df451b2,attr_demographics_and_population__age_of_tenth_person_in_household_screening_if_applicab__d48192bbfd,age of fifth person in household screening (if applicable),age of tenth person in household screening (if applicable),related_but_distinct,0.551,0.95,1,"[""pair_attr_demographics_and_population_age__attr_demographics_and_population_age__b16f20ff30e6""]"
attr_personality_traits__energy_level__979418dfd5,attr_personality_traits__extraversion__0197399403,Energy Level,Extraversion,narrower_than,0.702,0.9,1,"[""pair_attr_personality_traits_energy_level__attr_personality_traits_extraversion__0d0e8fc4e6ad""]"
attr_demographics_and_population__age_of_murder_victim_3rd_closest_to_r__6e8db2ce95,attr_demographics_and_population__race_of_murder_victim_3rd_closest_to_r__7a51d00a92,age of murder victim 3rd closest to r,race of murder victim 3rd closest to r,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_age__attr_demographics_and_population_rac__dbd8293501d6""]"
attr_worldview_beliefs_and_attitu__can_people_be_trusted_no_volunteered_response_on_web__b029ffea9f,attr_worldview_beliefs_and_attitu__can_people_be_trusted_with_volunteered_response_on_web__59af27048f,can people be trusted (no volunteered response on web),can people be trusted (with volunteered response on web),related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_ca__attr_worldview_beliefs_and_attitu_ca__3bdfde7f48b1""]"
attr_demographics_and_population__age_of_fifth_person_in_household_screening_if_applicab__404df451b2,attr_demographics_and_population__age_of_second_person_in_household_screening_if_applica__1e135e417e,age of fifth person in household screening (if applicable),age of second person in household screening (if applicable),related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_age__attr_demographics_and_population_age__a47199cd516e""]"
attr_demographics_and_population__birth_year_of_r_1st_sibling__b0bec1fefe,attr_demographics_and_population__birth_year_of_r_6th_sibling__c6fbaab553,birth year of r 1st sibling,birth year of r 6th sibling,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_bir__attr_demographics_and_population_bir__cdcdb595808e""]"
attr_demographics_and_population__age_of_sixth_person_in_household_screening_if_applicab__c754359754,attr_demographics_and_population__age_of_twelfth_person_in_household_screening_if_applic__4cf09ff683,age of sixth person in household screening (if applicable),age of twelfth person in household screening (if applicable),related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_age__attr_demographics_and_population_age__c4b2a0b1a1b1""]"
attr_worldview_beliefs_and_attitu__how_many_years_r_born_a_member_of_church_group1__30a665e044,attr_worldview_beliefs_and_attitu__how_many_years_r_born_a_member_of_church_group5__e114a92871,how many years r born a member of church group1,how many years r born a member of church group5,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_ho__attr_worldview_beliefs_and_attitu_ho__27a187a72353""]"
attr_cognitive_and_capability_pro__skill_technical_writing__40d2155e3c,attr_cognitive_and_capability_pro__skill_writing__dd00763fa2,Skill: Technical writing,Skill: Writing,narrower_than,0.702,0.9,1,"[""pair_attr_cognitive_and_capability_pro_sk__attr_cognitive_and_capability_pro_sk__212c19401f61""]"
attr_demographics_and_population__age_of_fifth_person_in_household_screening_if_applicab__404df451b2,attr_demographics_and_population__age_of_ninth_person_in_household_screening_if_applicab__7915bdd856,age of fifth person in household screening (if applicable),age of ninth person in household screening (if applicable),related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_age__attr_demographics_and_population_age__26812a3df407""]"
attr_worldview_beliefs_and_attitu__how_many_years_r_born_a_member_of_church_group4__40a931bfc9,attr_worldview_beliefs_and_attitu__how_many_years_r_born_a_member_of_church_group5__e114a92871,how many years r born a member of church group4,how many years r born a member of church group5,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_ho__attr_worldview_beliefs_and_attitu_ho__7d1611be3c7b""]"
