node_id,node_type,label,category,subcategory,size,node_weight,evidence_weight,weight_basis,quality_tier,source_count
attr_demographics_and_population__r_5th_sibling_alive__dd2e030706,attribute,r 5th sibling alive?,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_6th_sibling_alive__21b50aab3d,attribute,r 6th sibling alive?,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_7th_sibling_alive__658ac6d455,attribute,r 7th sibling alive?,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_8th_sibling_alive__f2534478f7,attribute,r 8th sibling alive?,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_9th_sibling_alive__4a1ab28b8b,attribute,r 9th sibling alive?,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_active_in_nationality_group__4c53950bd8,attribute,r active in nationality group,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_belongs_to_a_political_party__b62c3b7c53,attribute,r belongs to a political party,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_belongs_to_a_trade_union_or_professional_association__dc63ac3869,attribute,r belongs to a trade union or professional association,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_belongs_to_more_than_one_nationality_groups__f91271ee93,attribute,r belongs to more than one nationality groups,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_ever_written_official_abt_race_issues__0b40ae49dc,attribute,r ever written official abt race issues,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_ever_written_official_abt_women_s_rgts__7a888c4aa7,attribute,r ever written official abt women's rgts,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_experienced_sexual_harassment__d3bc39dfaf,attribute,r experienced sexual harassment,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_favors_living_in_half_white_neighborhood__cc846c26b7,attribute,r favors living in half white neighborhood,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_feels_discriminated_because_of_age__c12f6b546c,attribute,r feels discriminated because of age,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_feels_discriminated_because_of_gender__3793e4b4c0,attribute,r feels discriminated because of gender,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_feels_discriminated_because_of_race__eb38f8c0c1,attribute,r feels discriminated because of race,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_had_an_ongoing_relationship_with_leader1__a3dfc9fff7,attribute,r had an ongoing relationship with leader1,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_had_an_ongoing_relationship_with_leader2__25b460afb1,attribute,r had an ongoing relationship with leader2,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_had_an_ongoing_relationship_with_leader3__746f0316a2,attribute,r had an ongoing relationship with leader3,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_had_sex_with_acquaintance_last_year__32b2df0fa2,attribute,r had sex with acquaintance last year,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_had_sexual_contact_with_leader1__c96cb14a3d,attribute,r had sexual contact with leader1,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_had_sexual_contact_with_leader2__cea408ea55,attribute,r had sexual contact with leader2,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_had_sexual_contact_with_leader3__8b42f2a610,attribute,r had sexual contact with leader3,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_has_health_insurance_coverage__78668c0180,attribute,r has health insurance coverage,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_hispanic_specific__cedd560399,attribute,r hispanic specific,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_in_long_term_relationship_in_hh__cf4e32f67e,attribute,r in long-term relationship in hh,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_is_extended_family_of_another_adult_in_hh__439ec8a408,attribute,r is extended family of another adult in hh,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_is_extended_family_of_child_under_18_in_hh__be93a8d15e,attribute,r is extended family of child under 18 in hh,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_pride_in_being_american__04b90c447d,attribute,r pride in being american,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_relation_to_r_1st_sibling__cf4f53cad2,attribute,r relation to r 1st sibling,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_relation_to_r_2nd_sibling__b9e70186c9,attribute,r relation to r 2nd sibling,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_relation_to_r_3rd_sibling__d6ff6f2dd3,attribute,r relation to r 3rd sibling,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_relation_to_r_4th_sibling__4833cd990d,attribute,r relation to r 4th sibling,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_relation_to_r_5th_sibling__e8d3d6fdd0,attribute,r relation to r 5th sibling,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_relation_to_r_6th_sibling__f707a56972,attribute,r relation to r 6th sibling,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_relation_to_r_7th_sibling__526c570c73,attribute,r relation to r 7th sibling,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_relation_to_r_8th_sibling__d446b6aae6,attribute,r relation to r 8th sibling,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_relation_to_r_9th_sibling__120239e940,attribute,r relation to r 9th sibling,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_sexually_harassed_on_the_job_last_12_months__9681aba8cf,attribute,r sexually harassed on the job last 12 months,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_sibling_census_occupation_code_1980__f2597bdbbb,attribute,r sibling census occupation code (1980),Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_sibling_census_occupation_code_2010__405be810ea,attribute,r sibling census occupation code (2010),Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_sibling_industry_code_1980__5c47b7f1cb,attribute,r sibling industry code (1980),Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_sibling_industry_code_2010__aed17cda4e,attribute,r sibling industry code (2010),Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_sibling_occupational_prestige_score_1980__9d1f4bf664,attribute,r sibling occupational prestige score (1980),Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_sibling_occupational_prestige_score_2010__462f9a3713,attribute,r sibling occupational prestige score (2010),Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_sibling_occupational_prestige_score_using_threshold__cca13b6fb9,attribute,r sibling occupational prestige score using threshold method (2010),Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__r_sibling_self_employed__2c90a09e5a,attribute,r sibling self-employed?,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__race_of_aids_victim_2nd_closest_to_r__396fd7c769,attribute,race of aids victim 2nd closest to r,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__race_of_aids_victim_3rd_closest_to_r__6b7be6a252,attribute,race of aids victim 3rd closest to r,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__race_of_aids_victim_closest_to_r__dc04551e7a,attribute,race of aids victim closest to r,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__race_of_household__f1835cb3f9,attribute,race of household,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__race_of_murder_victim_2nd_closest_to_r__18138528fe,attribute,race of murder victim 2nd closest to r,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__race_of_murder_victim_3rd_closest_to_r__7a51d00a92,attribute,race of murder victim 3rd closest to r,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__race_of_murder_victim_closest_to_r__b43512e170,attribute,race of murder victim closest to r,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__race_of_person_number_1__12a798a909,attribute,race of person number 1,Demographics & Population Grounding,demographic variables,5,2.2259,0.7973,quality tier * source support * candidate support,A,1
attr_demographics_and_population__race_of_respondent__2a5586a690,attribute,race of respondent,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__race_of_suicide_victim_2nd_closest_to_r__0289c41f97,attribute,race of suicide victim 2nd closest to r,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__race_of_suicide_victim_3rd_closest_to_r__41f30a11d0,attribute,race of suicide victim 3rd closest to r,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__race_of_suicide_victim_closest_to_r__1eb340a6c1,attribute,race of suicide victim closest to r,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__rank_of_shortage_of_money_when_unemployed__f6f6df6051,attribute,rank of shortage of money when unemployed,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__refuse_a_job_promotion__004bf31462,attribute,refuse a job promotion?,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__refuse_to_work_overtime_or_extra_hours__75f298139d,attribute,refuse to work overtime or extra hours?,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__region__3c73e74157,attribute,Region,Demographics & Population Grounding,demographic variables,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_demographics_and_population__region_of_aids_victim_2nd_closest_to_r__9120221b37,attribute,region of aids victim 2nd closest to r,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__region_of_aids_victim_3rd_closest_to_r__0e50788812,attribute,region of aids victim 3rd closest to r,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__region_of_aids_victim_closest_to_r__7a794bb011,attribute,region of aids victim closest to r,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__region_of_murder_victim_2nd_closest_to_r__1ae79d6015,attribute,region of murder victim 2nd closest to r,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__region_of_murder_victim_3rd_closest_to_r__e34fa1cd01,attribute,region of murder victim 3rd closest to r,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__region_of_murder_victim_closest_to_r__2c19fa226f,attribute,region of murder victim closest to r,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__region_of_residence_age_16__bd6bb3b08e,attribute,"region of residence, age 16",Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__registered_at_a_private_employment_agency__35e86f026c,attribute,registered at a private employment agency,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__registered_at_a_public_employment_agency__b0b90380c1,attribute,registered at a public employment agency,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__regularly_received_alimony_chld_supprt__4060052b4d,attribute,regularly received alimony - chld supprt,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__relations_between_coworkers__2998230cc5,attribute,relations between coworkers,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__relations_between_management_and_workers__985ed7c181,attribute,relations between management and workers,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__relations_bw_management_and_employees__0d09a770c7,attribute,relations bw management and employees,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__relationship_of_10th_person_to_household_head__1324552a17,attribute,relationship of 10th person to household head,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__relationship_of_1st_person_to_household_head__6827eeb6f6,attribute,relationship of 1st person to household head,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__relationship_of_2nd_person_to_household_head__a19d9032b0,attribute,relationship of 2nd person to household head,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__relationship_of_3rd_person_to_household_head__494f1074b2,attribute,relationship of 3rd person to household head,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__relationship_of_4th_person_to_household_head__7a2a3a66b3,attribute,relationship of 4th person to household head,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__relationship_of_5th_person_to_household_head__fac021a73b,attribute,relationship of 5th person to household head,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__relationship_of_6th_person_to_household_head__c1484fee6c,attribute,relationship of 6th person to household head,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__relationship_of_7th_person_to_household_head__7878d4611c,attribute,relationship of 7th person to household head,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__relationship_of_8th_person_to_household_head__411bd8eda0,attribute,relationship of 8th person to household head,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__relationship_of_9th_person_to_household_head__117e7052e9,attribute,relationship of 9th person to household head,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__relationship_of_person_1_to_head_of_household__0ee43f3a9b,attribute,relationship of person 1 to head of household,Demographics & Population Grounding,demographic variables,9,2.7682,0.8382,quality tier * source support * candidate support,A,1
attr_demographics_and_population__relationship_of_person_1_to_spouse_of_househol__e929c1e777,attribute,relationship of person 1 to spouse of househol,Demographics & Population Grounding,demographic variables,9,2.7682,0.8382,quality tier * source support * candidate support,A,1
attr_demographics_and_population__relationship_of_person_10_to_head_of_household__c61bc79ea9,attribute,relationship of person 10 to head of household,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__relationship_of_person_10_to_spouse_of_househo__d4b4e6ffe4,attribute,relationship of person 10 to spouse of househo,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__relationship_of_person_11_to_head_of_household__4d205bbff9,attribute,relationship of person 11 to head of household,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__relationship_of_person_11_to_spouse_of_househo__0279732011,attribute,relationship of person 11 to spouse of househo,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__relationship_of_person_12_to_head_of_household__0347962b8f,attribute,relationship of person 12 to head of household,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__relationship_of_person_12_to_spouse_of_househo__d8d2a6fb3c,attribute,relationship of person 12 to spouse of househo,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__relationship_of_person_13_to_head_of_household__54aad0c71d,attribute,relationship of person 13 to head of household,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__relationship_of_person_13_to_spouse_of_househo__5982f13c29,attribute,relationship of person 13 to spouse of househo,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__relationship_of_person_14_to_head_of_household__6d5b9f891b,attribute,relationship of person 14 to head of household,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__relationship_of_person_14_to_spouse_of_househo__5fce040bc8,attribute,relationship of person 14 to spouse of househo,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__rely_on_friends_or_close_relatives__56c74e1933,attribute,rely on friends or close relatives,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__respondent_s_age_at_current_marriage__b7b21410f6,attribute,respondent's age at current marriage,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__respondent_s_age_when_1st_child_born__6f12ef7780,attribute,respondent's age when 1st child born,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__respondent_s_concern_about_racial_issues__0f84c3aa29,attribute,respondent's concern about racial issues,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__respondent_s_concern_about_women_s_rights__450f00a79c,attribute,respondent's concern about women's rights,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__respondent_s_father_s_or_oldest_same_sex_parent_s_soci__e879b358f4,attribute,respondent's father's (or oldest same-sex parent's) socioeconomic index (2010),Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__respondent_s_life_improved__fd406f8c83,attribute,respondent's life improved,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__respondent_s_mother_s_or_youngest_same_sex_parent_s_so__626abf3f9a,attribute,respondent's mother's (or youngest same-sex parent's) socioeconomic index (2010),Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__respondent_s_own_racial_id__fd146b755f,attribute,respondent's own racial id,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__respondent_s_relationship_to_household_head__e77cfa93eb,attribute,respondent's relationship to household head,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__respondent_s_self_ranking_of_family_at_age_16__025d248e6e,attribute,respondent's self ranking of family at age 16,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__respondent_s_sex_assigned_at_birth_2021__9c729bbea7,attribute,respondent's sex assigned at birth (2021),Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__respondent_s_sex_now_2021__5596031d30,attribute,respondent's sex now (2021),Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__respondent_s_sex_now_3_category__5333bff051,attribute,respondent's sex now (3 category),Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__respondent_s_skin_color__fdd933901f,attribute,respondent's skin color,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__same_sex_female_couple_raise_child_as_well_as_male_fem__e6f3c85d2b,attribute,same sex female couple raise child as well as male-female couple,Demographics & Population Grounding,demographic variables,2,1.557,0.7419,quality tier * source support * candidate support,A,1
attr_demographics_and_population__samoan__3802865ea0,attribute,samoan,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__sbind10_coding_status__7ef586d65d,attribute,sbind10 coding status,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__sbind10_coding_tag__f790762949,attribute,sbind10 coding tag,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__sbocc10_coding_status__995a95acf6,attribute,sbocc10 coding status,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__sbocc10_coding_tag__8c53930ced,attribute,sbocc10 coding tag,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__school_subjects_sex_education__e093309224,attribute,school subjects: sex education,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__sci_knowledge_father_gene_decides_sex_of_baby__ed979e8a58,attribute,sci knowledge: father gene decides sex of baby,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__second_race_selected__cc280e725e,attribute,second race selected,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__sex_before_marriage__65e20aa342,attribute,sex before marriage,Demographics & Population Grounding,demographic variables,2,1.6846,0.8027,quality tier * source support * candidate support,A,2
attr_demographics_and_population__sex_before_marriage_teens_14_16__9584e99abc,attribute,sex before marriage:teens 14-16,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__sex_education_in_public_schools__519db8ae87,attribute,sex education in public schools,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__sex_makes_your_promotion_different__9eec872a00,attribute,sex makes your promotion different,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__sex_of_aids_victim_2nd_closest_to_r__ca16d15e8e,attribute,sex of aids victim 2nd closest to r,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__sex_of_aids_victim_3rd_closest_to_r__0e2993c55a,attribute,sex of aids victim 3rd closest to r,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__sex_of_aids_victim_closest_to_r__d9cf438094,attribute,sex of aids victim closest to r,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__sex_of_leader1__aa00498bf5,attribute,sex of leader1,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__sex_of_leader2__fd33556a09,attribute,sex of leader2,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__sex_of_leader3__4ef52179c5,attribute,sex of leader3,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__sex_of_murder_victim_2nd_closest_to_r__a72ecf19ed,attribute,sex of murder victim 2nd closest to r,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__sex_of_murder_victim_3rd_closest_to_r__00e013c24c,attribute,sex of murder victim 3rd closest to r,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__sex_of_murder_victim_closest_to_r__ad31527af7,attribute,sex of murder victim closest to r,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__sex_of_person_number_1__2fcce47639,attribute,sex of person number 1,Demographics & Population Grounding,demographic variables,5,2.2259,0.7973,quality tier * source support * candidate support,A,1
attr_demographics_and_population__sex_of_r_1st_child__c0f42a301d,attribute,sex of r 1st child,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__sex_of_r_1st_sibling__d9d8da1820,attribute,sex of r 1st sibling,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__sex_of_r_2nd_child__c424df7951,attribute,sex of r 2nd child,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__sex_of_r_2nd_sibling__f5099c3fa0,attribute,sex of r 2nd sibling,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_demographics_and_population__sex_of_r_3rd_child__ce13fd5f45,attribute,sex of r 3rd child,Demographics & Population Grounding,demographic variables,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
